date_time,file,committer_name
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,EPL-1.0.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Jenkinsfile,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,README.md,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,notice.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.ui.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,about.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,index.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,javadoc.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DocAccess.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,GenerateDocumentation.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Text.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.ui.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,about.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,CustomSetupTest.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,children.xt,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,defaults.xt,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,simple.xt,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,SimpleTest.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,test.textile.xt,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MyXtendClass.xtend.xt,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,XtendTest.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DMXtextTests.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,grammar.xtext.xt,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,GenerateArithmetics.launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,GenerateDomainmodel.launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,GenerateXpect.launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Xpect - clean.launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Xpect - install and test.launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Xpect - release.launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Xpect.setup,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,about.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,component.def,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,category.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.xpect.target.eclipse_4_4_2-xtext_2_9_2.target,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.xpect.target.eclipse_4_5_0-xtext_nightly.target,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,README.md,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.runtime.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.runtime.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsParsingTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,CalculatorTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.runtime.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml_gen,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsUiModule.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,AutoEditStrategy.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,InterpreterAutoEdit.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsProposalProvider.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsDescriptionLabelProvider.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsLabelProvider.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsOutlineTreeProvider.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsQuickfixProvider.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.runtime.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Arithmetics.ecore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Arithmetics.genmodel,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml_gen,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Arithmetics.xtext,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsRuntimeModule.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsStandaloneSetup.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,GenerateArithmetics.mwe2,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsGenerator.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Calculator.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsScopeProvider.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ArithmeticsValidator.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.runtime.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,CompilerTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ContentAssistTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,FormatterTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,InjectorProviderCustom.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,OrganizeImportsTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ParserTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,ValidationTests.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,XbaseIntegrationTest.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,xtext.example.domainmodel.tests (xtend).launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.runtime.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.launching.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.ui.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.pde.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.xtend.shared.ui.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,about.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml_gen,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelUiModule.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,FantasticEditStrategyProvider.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelProposalProvider.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelDescriptionLabelProvider.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelLabelProvider.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelLinkingDiagnosticMessageProvider.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelHyperlinkHelper.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelOutlineTreeProvider.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,FilterOperationsContribution.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelQuickfixProvider.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelSearchFilter.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,templates.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.runtime.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.launching.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.ui.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.pde.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,GenerateDomainmodel.mwe2.launch,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,about.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Domainmodel.ecore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Domainmodel.genmodel,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,plugin.xml_gen,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,Domainmodel.xtext,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelRuntimeModule.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelStandaloneSetup.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,GenerateDomainmodel.mwe2,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelFormatter.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelJvmModelInferrer.xtend,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelSemanticSequencer.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelSyntacticSequencer.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,DomainmodelJavaValidator.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,IssueCodes.java,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.gitignore,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,feature.properties,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,feature.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,pom.xml,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.classpath,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,.project,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.core.resources.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.core.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.jdt.ui.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,org.eclipse.xtend.core.Xtend.prefs,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,MANIFEST.MF,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,about.html,Moritz Eysholdt
Thu Aug 31 17:23:31 2017,build.properties,Moritz Eysholdt
