date_time,file,committer_name
Wed Nov 24 21:41:15 2010,AJDTContentProvider.java,aeisenberg
Wed Nov 24 21:41:16 2010,AllAJDTUITests.java,aeisenberg
Wed Nov 24 21:41:16 2010,Bug280508ContentAssist.java,aeisenberg
Wed Nov 24 21:41:16 2010,ContentAssistTests.java,aeisenberg
Wed Nov 24 21:41:16 2010,AbstractProblemFindingTests.java,aeisenberg
Wed Nov 24 21:41:16 2010,ExtraAspectMethodProblemFinderTests.java,aeisenberg
Wed Nov 24 21:41:16 2010,GenericProblemFinderTests.java,aeisenberg
Wed Nov 24 21:41:16 2010,Class.java,aeisenberg
Wed Nov 24 21:41:17 2010,AJBuilder.java,aeisenberg
Wed Nov 24 21:41:17 2010,AJSourceIndexerRequestor.java,aeisenberg
Wed Nov 24 21:41:17 2010,ITDAwareSourceTypeInfo.java,aeisenberg
Wed Nov 24 21:41:17 2010,AJCompilationUnitProblemFinder.java,aeisenberg
Wed Nov 24 21:41:17 2010,ExtraPackageReferenceFinder.java,aeisenberg
Wed Nov 24 21:41:17 2010,ExtraTypeReferenceFinder.java,aeisenberg
Fri Nov 26 22:28:53 2010,AllAJDTUITests.java,aeisenberg
Fri Nov 26 22:28:53 2010,PushInRefactoringRemoveAnnotationTests.java,aeisenberg
Fri Nov 26 22:28:54 2010,PushInRefactoring.java,aeisenberg
Fri Nov 26 22:28:55 2010,DeclareElement.java,aeisenberg
Fri Nov 26 22:28:55 2010,DeclareElementInfo.java,aeisenberg
Fri Nov 26 22:28:55 2010,AJCompilationUnitStructureRequestor.java,aeisenberg
Fri Nov 26 22:28:56 2010,.cvsignore,aeisenberg
Fri Nov 26 22:28:56 2010,AbstractAJDTRefactoringTest.java,aeisenberg
Fri Dec  3  0:28:50 2010,JDTWeavingPreferences.java,aeisenberg
Fri Dec  3  0:32:02 2010,JDTWeavingPreferences.java,aeisenberg
Thu Dec  9 20:56:25 2010,build.properties,aeisenberg
Thu Dec  9 20:56:25 2010,XRefUIUtils.java,aeisenberg
Thu Dec  9 20:56:25 2010,CustomFilterDialog.java,aeisenberg
Thu Dec  9 20:56:30 2010,.classpath,aeisenberg
Thu Dec  9 20:56:30 2010,org.eclipse.jdt.core.prefs,aeisenberg
Thu Dec  9 20:56:30 2010,MANIFEST.MF,aeisenberg
Thu Dec  9 20:56:30 2010,build.properties,aeisenberg
Thu Dec  9 20:56:30 2010,org.eclipse.contribution.xref.core.providers.exsd,aeisenberg
Thu Dec  9 20:56:30 2010,IXReference.java,aeisenberg
Thu Dec  9 20:56:30 2010,IXReferenceAdapter.java,aeisenberg
Thu Dec  9 20:56:30 2010,IXReferenceProvider.aj,aeisenberg
Thu Dec  9 20:56:30 2010,IXReferenceProviderExtension.java,aeisenberg
Thu Dec  9 20:56:30 2010,XReference.java,aeisenberg
Thu Dec  9 20:56:30 2010,XReferenceAdapter.java,aeisenberg
Thu Dec  9 20:56:30 2010,XReferenceAdapterFactory.java,aeisenberg
Thu Dec  9 20:56:30 2010,XReferenceProviderDefinition.java,aeisenberg
Thu Dec  9 20:56:30 2010,XReferenceProviderManager.java,aeisenberg
Thu Dec  9 20:56:30 2010,TracingPolicy.aj,aeisenberg
Thu Dec  9 20:56:31 2010,.classpath,aeisenberg
Thu Dec  9 20:56:31 2010,org.eclipse.jdt.core.prefs,aeisenberg
Thu Dec  9 20:56:31 2010,MANIFEST.MF,aeisenberg
Thu Dec  9 20:56:31 2010,build.properties,aeisenberg
Thu Dec  9 20:56:31 2010,AdaptableObject.java,aeisenberg
Thu Dec  9 20:56:31 2010,AdaptableString.java,aeisenberg
Thu Dec  9 20:56:31 2010,TestProvider.java,aeisenberg
Thu Dec  9 20:56:31 2010,XReferenceAdapterFactoryTest.java,aeisenberg
Thu Dec  9 20:56:31 2010,XReferenceAdapterTest.java,aeisenberg
Thu Dec  9 20:56:31 2010,XReferenceProviderDefinitionTest.java,aeisenberg
Thu Dec  9 20:56:31 2010,XReferenceProviderManagerTest.java,aeisenberg
Thu Dec  9 20:56:31 2010,XReferenceTest.java,aeisenberg
Thu Dec  9 20:56:31 2010,.classpath,aeisenberg
Thu Dec  9 20:56:31 2010,org.eclipse.jdt.core.prefs,aeisenberg
Thu Dec  9 20:56:31 2010,MANIFEST.MF,aeisenberg
Thu Dec  9 20:56:31 2010,build.properties,aeisenberg
Thu Dec  9 20:56:31 2010,TestXRefClass.java,aeisenberg
Thu Dec  9 20:56:31 2010,TestXRefClassWithEntities.java,aeisenberg
Thu Dec  9 20:56:31 2010,TestXRefProvider.java,aeisenberg
Thu Dec  9 20:56:31 2010,TestXRefProviderWithEntities.java,aeisenberg
Thu Dec  9 20:56:31 2010,XReferenceViewTest.java,aeisenberg
Thu Dec  9 20:56:39 2010,AJDT Core Tests.launch,aeisenberg
Thu Dec  9 20:56:39 2010,build.properties,aeisenberg
Thu Dec  9 20:56:39 2010,AJComparatorTest.java,aeisenberg
Thu Dec  9 20:56:40 2010,AJNode.java,aeisenberg
Thu Dec  9 20:56:40 2010,AspectJPreferences.java,aeisenberg
Thu Dec  9 20:56:40 2010,AJXReferenceProvider.java,aeisenberg
Thu Dec  9 20:56:40 2010,AJComparator.java,aeisenberg
Mon Dec 20 22:26:20 2010,XReferenceAdapterFactory.java,aeisenberg
Mon Dec 20 22:26:21 2010,WeavingStateConfigurer.java,aeisenberg
Mon Dec 20 22:26:21 2010,AllCoreTests.java,aeisenberg
Mon Dec 20 22:26:21 2010,HandleTestUtils.java,aeisenberg
