date_time,file,committer_name
Sat Dec 13 20:33:13 2014,.project,David Carver
Sat Dec 13 20:33:13 2014,feature.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,.project,David Carver
Sat Dec 13 20:33:13 2014,feature.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,.project,David Carver
Sat Dec 13 20:33:13 2014,feature.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,.project,David Carver
Sat Dec 13 20:33:13 2014,feature.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,.project,David Carver
Sat Dec 13 20:33:13 2014,feature.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,.project,David Carver
Sat Dec 13 20:33:13 2014,feature.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,.project,David Carver
Sat Dec 13 20:33:13 2014,feature.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,pom.xml,David Carver
Sat Dec 13 20:33:13 2014,CalendarViewRule.java,David Carver
Sat Dec 13 20:33:13 2014,DatePickerRule.java,David Carver
Sat Dec 13 20:33:13 2014,FragmentRule.java,David Carver
Sat Dec 13 20:33:13 2014,GridViewRule.java,David Carver
Sat Dec 13 20:33:13 2014,IgnoredLayoutRule.java,David Carver
Sat Dec 13 20:33:13 2014,ImageButtonRule.java,David Carver
Sat Dec 13 20:33:13 2014,ImageViewRule.java,David Carver
Sat Dec 13 20:33:13 2014,IncludeRule.java,David Carver
Sat Dec 13 20:33:13 2014,ListViewRule.java,David Carver
Sat Dec 13 20:33:13 2014,MapViewRule.java,David Carver
Sat Dec 13 20:33:13 2014,MergeRule.java,David Carver
Sat Dec 13 20:33:13 2014,PropertySettingNodeHandler.java,David Carver
Sat Dec 13 20:33:13 2014,QuickContactBadgeRule.java,David Carver
Sat Dec 13 20:33:13 2014,RadioGroupRule.java,David Carver
Sat Dec 13 20:33:13 2014,SeekBarRule.java,David Carver
Sat Dec 13 20:33:13 2014,TabWidgetRule.java,David Carver
Sat Dec 13 20:33:13 2014,TableRowRule.java,David Carver
Sat Dec 13 20:33:13 2014,TimePickerRule.java,David Carver
Sat Dec 13 20:33:13 2014,ViewRule.java,David Carver
Sat Dec 13 20:33:13 2014,ViewTagRule.java,David Carver
Sat Dec 13 20:33:13 2014,WebViewRule.java,David Carver
Sat Dec 13 20:33:13 2014,ZoomButtonRule.java,David Carver
Sat Dec 13 20:33:13 2014,ZoomControlsRule.java,David Carver
Sat Dec 13 20:33:13 2014,DeclareStyleableInfo.java,David Carver
Sat Dec 13 20:33:13 2014,AndroidPrintStream.java,David Carver
Sat Dec 13 20:33:13 2014,Messages.java,David Carver
Sat Dec 13 20:33:13 2014,ToolsLocator.java,David Carver
Sat Dec 13 20:33:13 2014,AvdManagerAction.java,David Carver
Sat Dec 13 20:33:13 2014,AssetType.java,David Carver
Sat Dec 13 20:33:13 2014,OpenCreateAssetSetWizardAction.java,David Carver
Sat Dec 13 20:33:13 2014,AaptExecException.java,David Carver
Sat Dec 13 20:33:13 2014,AaptResultException.java,David Carver
Sat Dec 13 20:33:13 2014,DefaultSourceChangeHandler.java,David Carver
Sat Dec 13 20:33:13 2014,DexException.java,David Carver
Sat Dec 13 20:33:13 2014,ExecResultException.java,David Carver
Sat Dec 13 20:33:13 2014,Messages.java,David Carver
Sat Dec 13 20:33:13 2014,NativeLibInJarException.java,David Carver
Sat Dec 13 20:33:13 2014,ProguardExecException.java,David Carver
Sat Dec 13 20:33:13 2014,ProguardResultException.java,David Carver
Sat Dec 13 20:33:13 2014,RsSourceChangeHandler.java,David Carver
Sat Dec 13 20:33:13 2014,SourceChangeHandler.java,David Carver
Sat Dec 13 20:33:13 2014,SourceFileData.java,David Carver
