date_time,file,committer_name
Sun Jan 24 10:57:29 2021,.gitignore,Constantin Ziesche
Sun Jan 24 10:57:29 2021,BaSyx.AASX.Server.Http.App.csproj,Constantin Ziesche
Sun Jan 24 10:57:29 2021,_ModelElementSpecific.cshtml,Constantin Ziesche
Sun Jan 24 10:57:29 2021,ServerApplication.cs,Constantin Ziesche
Sun Jan 24 10:57:29 2021,BaSyx.Models.csproj,Constantin Ziesche
Sun Jan 24 10:57:29 2021,IMultiLanguageProperty.cs,Constantin Ziesche
Sun Jan 24 10:57:29 2021,HelloAssetAdministrationShell.csproj,Constantin Ziesche
Sun Jan 24 10:57:29 2021,Program.cs,Constantin Ziesche
Sun Jan 24 10:57:29 2021,ServerSettings.xml,Constantin Ziesche
Mon Jan 25  6:11:31 2021,_Layout.cshtml,Constantin Ziesche
Mon Jan 25  6:11:31 2021,_ModelElementSpecific.cshtml,Constantin Ziesche
Mon Jan 25  6:11:31 2021,ExportTest.cs,Constantin Ziesche
Mon Jan 25  6:11:31 2021,SerializationTest.cs,Constantin Ziesche
Mon Jan 25  6:11:31 2021,DataObjectType.cs,Constantin Ziesche
Mon Jan 25  6:11:31 2021,DataType.cs,Constantin Ziesche
Mon Jan 25  6:11:31 2021,ElementContainer.cs,Constantin Ziesche
Mon Jan 25  6:11:31 2021,ToStringConverter.cs,Constantin Ziesche
Mon Jan 25 11:55:46 2021,SubmodelController.cs,Constantin Ziesche
Mon Jan 25 11:55:46 2021,_Layout.cshtml,Constantin Ziesche
Mon Jan 25 11:55:46 2021,_Submodel.cshtml,Constantin Ziesche
Mon Jan 25 11:55:46 2021,SubmodelServiceProvider.cs,Constantin Ziesche
Mon Jan 25 11:55:46 2021,ElementValue.cs,Constantin Ziesche
Thu Jan 28  7:12:09 2021,AssetAdministrationShellController.cs,Constantin Ziesche
Thu Jan 28  7:12:09 2021,AssetAdministrationShellRepositoryController.cs,Constantin Ziesche
Thu Jan 28  7:12:09 2021,SubmodelController.cs,Constantin Ziesche
Thu Jan 28  7:12:09 2021,SubmodelRepositoryController.cs,Constantin Ziesche
Thu Jan 28  7:12:09 2021,BaSyx.API.Http.Controllers.xml,Constantin Ziesche
Thu Jan 28  7:12:09 2021,ServerApplication.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,_ModelElementSpecific.cshtml,Constantin Ziesche
Tue Feb  9 19:48:18 2021,_Submodel.cshtml,Constantin Ziesche
Tue Feb  9 19:48:18 2021,ServerApplication.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,AssetAdministrationShellClientServerTest.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,SubmodelServiceProvider.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,SerializationTest.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,EnvironmentSubmodelElementFactory_V1_0.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,EnvironmentSubmodelElementFactory_V2_0.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,IQualifier.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,Qualifier.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,IBlob.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,IProperty.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,IRange.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,SubmodelElement.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,SubmodelElementFactory.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,Blob.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,Event.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,Property.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,Range.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,ElementValue.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,IValue.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,ModelType.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,SubmodelElementContainer.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,OperationVariableSetConverter.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,RangeConverter.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,EndpointSpecification.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,SubmodelElementConverter.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,SubmodelExtensions.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,DefaultImplementation.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,ToStringConverter.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,StringOperations.cs,Constantin Ziesche
Tue Feb  9 19:48:18 2021,BaSyx.postman_collection.json,Constantin Ziesche
Tue Feb  9 19:48:18 2021,BaSyx.postman_environment.json,Constantin Ziesche
Tue Feb  9 22:41:09 2021,AssetAdministrationShellController.cs,Constantin Ziesche
Tue Feb  9 22:41:09 2021,SubmodelController.cs,Constantin Ziesche
Tue Feb  9 22:41:09 2021,SubmodelRepositoryController.cs,Constantin Ziesche
Tue Feb  9 22:41:09 2021,BaSyx.API.Http.Controllers.xml,Constantin Ziesche
Tue Feb  9 22:41:09 2021,_Submodel.cshtml,Constantin Ziesche
Tue Feb  9 22:41:09 2021,Property.cs,Constantin Ziesche
Tue Feb  9 22:41:09 2021,DataType.cs,Constantin Ziesche
Tue Feb  9 22:41:09 2021,ElementValue.cs,Constantin Ziesche
