date_time,file,committer_name
Tue Dec  7 10:45:40 2021,.gitignore,Thomas Psota
Tue Dec  7 10:45:40 2021,.gitmodules,Thomas Psota
Tue Dec  7 10:45:40 2021,CMakeLists.txt,Thomas Psota
Tue Dec  7 10:45:40 2021,CONTRIBUTING,Thomas Psota
Tue Dec  7 10:45:40 2021,LICENSE,Thomas Psota
Tue Dec  7 10:45:40 2021,NOTICE,Thomas Psota
Tue Dec  7 10:45:40 2021,Findasio.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,build_source_group.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,config.windows.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,diagnostics_print.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,enable_clang_format.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,enable_clang_tidy.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,enable_cppcheck.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,enable_testbed.cmake,Thomas Psota
Tue Dec  7 10:45:40 2021,ISubmodel.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IAsset.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IAssetAdministrationShell.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IElementContainer.h,Thomas Psota
Tue Dec  7 10:45:40 2021,ILangStringSet.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IModelType.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IConstraint.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IFormula.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IQualifier.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IDataSpecification.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IDataSpecificationContent.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IDataSpecificationIEC61360.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IDataSpecificationPhysicalUnit.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IEmbeddedDataSpecification.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IValueList.h,Thomas Psota
Tue Dec  7 10:45:40 2021,Identifier.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IConceptDescription.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IConceptDictionary.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IView.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IAdministrativeInformation.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IHasDataSpecification.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IHasKind.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IHasSemantics.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IIdentifiable.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IQualifiable.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IReferable.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IKey.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IReference.h,Thomas Psota
Tue Dec  7 10:45:40 2021,IAnnotatedRelationshipElement.h,Thomas Psota
