date_time,file,committer_name
Sun Feb  5  3:48:30 2006,MarkerIconDialog.java,yulin
Sun Feb  5  3:48:30 2006,LineSeriesAttributeComposite.java,yulin
Mon Feb  6  4:00:41 2006,TaskSelectType.java,yulin
Mon Feb  6  4:00:41 2006,BaseDataDefinitionComponent.java,yulin
Mon Feb  6  4:00:41 2006,DataDefinitionSelector.java,yulin
Mon Feb  6  4:00:41 2006,MultipleSeriesSelectorComponent.java,yulin
Mon Feb  6  4:00:41 2006,SelectDataDynamicArea.java,yulin
Mon Feb  6  4:00:41 2006,SeriesSheetImpl.java,yulin
Mon Feb  6  4:00:41 2006,ChartWizardContext.java,yulin
Mon Feb  6  4:00:41 2006,ChartUIUtil.java,yulin
Tue Feb  7  6:27:16 2006,TaskSelectType.java,yulin
Tue Feb  7  8:01:03 2006,FillChooserComposite.java,yulin
Tue Feb  7  8:01:03 2006,GradientEditorDialog.java,yulin
Wed Feb  8  7:22:32 2006,FillChooserComposite.java,yulin
Wed Feb  8  7:22:32 2006,BarSeriesAttributeComposite.java,yulin
Wed Feb  8  7:22:32 2006,LineSeriesAttributeComposite.java,yulin
Wed Feb  8  7:22:32 2006,PieSeriesAttributeComposite.java,yulin
Wed Feb  8  7:22:32 2006,AxisSheetImpl.java,yulin
Wed Feb  8  7:22:32 2006,ChartLegendSheetImpl.java,yulin
Wed Feb  8  7:22:32 2006,ChartPlotSheetImpl.java,yulin
Wed Feb  8  7:22:32 2006,ChartSheetImpl.java,yulin
Wed Feb  8  7:22:32 2006,AxisGridLinesSheet.java,yulin
Wed Feb  8  7:22:32 2006,AxisMarkersSheet.java,yulin
Wed Feb  8  7:22:32 2006,LegendTextSheet.java,yulin
Wed Feb  8  7:22:32 2006,SeriesLabelSheet.java,yulin
Wed Feb  8  7:22:32 2006,SeriesRegionSheet.java,yulin
Wed Feb  8  7:22:32 2006,SeriesTrendlineSheet.java,yulin
Wed Feb  8  8:06:35 2006,SeriesSheetImpl.java,yulin
Fri Feb 10  7:45:21 2006,LabelAttributesComposite.java,yulin
Fri Feb 10  7:45:21 2006,AxisMarkersSheet.java,yulin
Fri Feb 10  7:45:21 2006,AxisTextSheet.java,yulin
Tue Feb 14  8:30:42 2006,ValueFormatter.java,yulin
Tue Feb 14  8:30:42 2006,FractionNumberFormatSpecifier.java,yulin
Tue Feb 14  8:30:42 2006,FractionNumberFormatSpecifierImpl.java,yulin
Tue Feb 14  8:30:42 2006,NumberFormatSpecifierImpl.java,yulin
Tue Feb 14  8:30:42 2006,FractionTest.java,yulin
Tue Feb 14  8:37:23 2006,FormatSpecifierComposite.java,yulin
Tue Feb 14  8:37:23 2006,TextEditorComposite.java,yulin
Tue Feb 14  8:37:23 2006,AxisMarkersSheet.java,yulin
Tue Feb 14  8:37:23 2006,AxisScaleSheet.java,yulin
Wed Feb 15  3:26:57 2006,TextEditorComposite.java,yulin
Wed Feb 15  3:26:57 2006,ChartLegendSheetImpl.java,yulin
Wed Feb 15  3:26:57 2006,InteractivitySheet.java,yulin
Wed Feb 15  3:26:57 2006,AxisMarkersSheet.java,yulin
Wed Feb 15  3:26:57 2006,AxisScaleSheet.java,yulin
Wed Feb 15  3:26:57 2006,LegendLayoutSheet.java,yulin
Wed Feb 15  3:26:57 2006,SeriesYSheetImpl.java,yulin
Wed Feb 15  8:28:44 2006,TriggerDataComposite.java,yulin
Wed Feb 15  8:28:44 2006,SubtaskSheetImpl.java,yulin
Wed Feb 15  8:28:44 2006,AbstractAxisSubtask.java,yulin
Wed Feb 15  8:28:44 2006,AxisMarkersSheet.java,yulin
Wed Feb 15  8:41:30 2006,SubtaskSheetImpl.java,yulin
Wed Feb 15  9:15:13 2006,TextEditorComposite.java,yulin
Fri Feb 17  6:04:49 2006,LabelAttributesComposite.java,yulin
Fri Feb 17  6:04:49 2006,ChartPlotSheetImpl.java,yulin
Fri Feb 17  6:04:49 2006,AxisMarkersSheet.java,yulin
Fri Feb 17  6:04:49 2006,PlotClientAreaSheet.java,yulin
Fri Feb 17  6:45:50 2006,LabelAttributesComposite.java,yulin
Fri Feb 17  6:45:50 2006,AxisZSheetImpl.java,yulin
Fri Feb 17  7:05:06 2006,AxisZSheetImpl.java,yulin
Fri Feb 17  9:32:03 2006,PlotClientAreaSheet.java,yulin
Fri Feb 17 10:23:48 2006,TextEditorComposite.java,yulin
Fri Feb 17 10:23:48 2006,AxisScaleSheet.java,yulin
Fri Feb 17 10:23:48 2006,PlotClientAreaSheet.java,yulin
Mon Feb 20  5:34:50 2006,TriggerDataComposite.java,yulin
Mon Feb 20  9:36:59 2006,ChartWizard.java,yulin
Mon Feb 20  9:36:59 2006,WizardBase.java,yulin
Tue Feb 21  3:39:18 2006,SeriesLabelSheet.java,yulin
Tue Feb 21  3:39:18 2006,WizardBase.java,yulin
Tue Feb 21  6:22:34 2006,WizardBase.java,yulin
Wed Feb 22  9:23:25 2006,IntegerSpinControl.java,yulin
Wed Feb 22  9:23:25 2006,AxisTextSheet.java,yulin
Fri Feb 24  2:58:02 2006,StockSeriesAttributeComposite.java,yulin
Fri Feb 24  2:58:02 2006,StockChart.java,yulin
Fri Feb 24  3:19:40 2006,WizardBase.java,yulin
Tue Feb 28  3:51:53 2006,ChartPlotSheetImpl.java,yulin
Tue Feb 28  3:51:53 2006,PlotClientAreaSheet.java,yulin
