date_time,file,committer_name
Sun May  8  2:05:09 2005,rom.def,xli
Sun May  8  2:05:09 2005,NamePropertyType.java,xli
Wed May 11  2:37:37 2005,PasteStructureCommand.java,xli
Wed May 11  2:37:37 2005,DEUtil.java,xli
Wed May 11  2:37:37 2005,CompoundRecord.java,xli
Wed May 11  2:37:37 2005,DesignElementHandle.java,xli
Wed May 11  2:37:37 2005,SimpleValueHandle.java,xli
Wed May 11  2:37:37 2005,StructureHandle.java,xli
Wed May 11  2:37:37 2005,PropertyNameException.java,xli
Wed May 11  2:37:37 2005,IStructure.java,xli
Wed May 11  2:37:37 2005,UserPropertyDefn.java,xli
Wed May 11  2:37:37 2005,PropertyValueException.java,xli
Wed May 11  2:37:37 2005,StructureListValidator.java,xli
Wed May 11  2:37:37 2005,PropertyCommand.java,xli
Wed May 11  2:37:37 2005,PropertyListRecord.java,xli
Wed May 11  2:37:37 2005,PropertyReplaceRecord.java,xli
Wed May 11  2:37:37 2005,DesignElement.java,xli
Wed May 11  2:37:37 2005,Structure.java,xli
Wed May 11  2:37:37 2005,AbstractPropertyState.java,xli
Wed May 11  2:37:37 2005,ActionStructureState.java,xli
Wed May 11  2:37:37 2005,CompatibleFormatPropertyState.java,xli
Wed May 11  2:37:37 2005,EncryptedPropertyState.java,xli
Wed May 11  2:37:37 2005,ExpressionState.java,xli
Wed May 11  2:37:37 2005,PropertyState.java,xli
Wed May 11  2:37:37 2005,RecoverableError.java,xli
Wed May 11  2:37:37 2005,StructureState.java,xli
Wed May 11  2:37:37 2005,TextPropertyState.java,xli
Wed May 11  2:37:37 2005,UserPropertyStructureState.java,xli
Wed May 11  2:37:37 2005,XmlPropertyState.java,xli
Wed May 11  2:37:37 2005,DesignWriter.java,xli
Wed May 11  3:22:14 2005,DesignElementHandle.java,xli
Thu May 12  2:40:49 2005,StringFormatter.java,xli
Thu May 12  2:40:49 2005,ParameterValidationUtil.java,xli
Thu May 12  7:20:00 2005,ElementDefn.java,xli
Thu May 19  7:12:43 2005,UnsupportedElementValidator.java,xli
Mon May 23  9:12:56 2005,DesignElement.java,xli
Mon May 23  9:12:56 2005,StyleElement.java,xli
Mon May 23  9:12:56 2005,GroupElement.java,xli
Wed May 25  9:47:37 2005,IDesignElementModel.java,xli
Wed May 25  9:47:37 2005,ElementDefn.java,xli
Wed May 25  9:47:37 2005,ElementPropertyDefn.java,xli
Wed May 25  9:47:37 2005,MetaDataHandler.java,xli
Wed May 25  9:47:37 2005,ObjectDefn.java,xli
Wed May 25  9:47:37 2005,PropertyDefn.java,xli
Wed May 25  9:47:37 2005,SlotDefn.java,xli
Wed May 25  9:47:37 2005,metadata.xsd,xli
