date_time,file,committer_name
Tue Aug 27 12:16:42 2019,WorkspaceSpecification.groovy,Donat Csikos
Mon Sep  2 11:42:13 2019,TestLaunchShortcutValidatorTest.groovy,Donat Csikos
Mon Sep  2 11:42:13 2019,plugin.xml,Donat Csikos
Mon Sep  2 11:42:13 2019,TestLaunchShortcut.java,Donat Csikos
Mon Sep  2 11:42:13 2019,TestLaunchShortcutValidator.java,Donat Csikos
Mon Sep  2 11:42:14 2019,RunGradleTestLaunchRequestJobTest.groovy,Donat Csikos
Mon Sep  2 11:42:14 2019,BaseLaunchRequestJob.java,Donat Csikos
Mon Sep  2 11:42:14 2019,GradleRunConfigurationDelegate.java,Donat Csikos
Mon Sep  2 11:42:14 2019,GradleTestRunConfigurationDelegate.java,Donat Csikos
Mon Sep  2 11:42:14 2019,JavaElementSelection.java,Donat Csikos
Mon Sep  2 11:42:14 2019,LaunchConfigurationScope.java,Donat Csikos
Mon Sep  2 11:42:14 2019,LaunchMessages.java,Donat Csikos
Mon Sep  2 11:42:14 2019,LaunchUtils.java,Donat Csikos
Mon Sep  2 11:42:14 2019,RunGradleBuildLaunchRequestJob.java,Donat Csikos
Mon Sep  2 11:42:14 2019,RunGradleJvmTestLaunchRequestJob.java,Donat Csikos
Mon Sep  2 11:42:14 2019,RunGradleTestLaunchRequestJob.java,Donat Csikos
Mon Sep  2 11:42:14 2019,TestExecutionTarget.java,Donat Csikos
Mon Sep  2 11:42:14 2019,ClasspathUtils.java,Donat Csikos
Mon Sep  2 11:42:14 2019,LaunchMessages.properties,Donat Csikos
Mon Sep  2 11:42:14 2019,TestLaunchShortcutValidatorTest.groovy,Donat Csikos
Mon Sep  2 11:42:14 2019,plugin.xml,Donat Csikos
Mon Sep  2 11:42:14 2019,EditorBackedJavaElementSelection.java,Donat Csikos
Mon Sep  2 11:42:14 2019,LaunchMessages.java,Donat Csikos
Mon Sep  2 11:42:14 2019,SelectionJavaElementResolver.java,Donat Csikos
Mon Sep  2 11:42:14 2019,SelectionPropertyTester.java,Donat Csikos
Mon Sep  2 11:42:14 2019,TestLaunchShortcut.java,Donat Csikos
Mon Sep  2 11:42:14 2019,TestLaunchShortcutValidator.java,Donat Csikos
Mon Sep  2 11:42:14 2019,LaunchMessages.properties,Donat Csikos
Mon Sep  2 14:10:12 2019,RunEclipseAutoBuildTasksTest.groovy,Donat Csikos
