date_time,file,committer_name
Mon Sep  5 14:27:41 2016,WsMasterModule.java,Roman Iuvshin
Sat Sep 10 11:13:01 2016,pom.xml,Roman Iuvshin
Sat Sep 10 11:13:01 2016,Compare.html,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-compare-amd.min.js,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-compare.css,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-compare-amd.min.js,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-compare-codenvy.css,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-compare-dark-codenvy.css,Roman Iuvshin
Sat Sep 10 11:13:01 2016,pom.xml,Roman Iuvshin
Sat Sep 10 11:13:01 2016,OrionEditorExtension.java,Roman Iuvshin
Sat Sep 10 11:13:01 2016,JavaHighlightingOrionPlugin.java,Roman Iuvshin
Sat Sep 10 11:13:01 2016,OrionEditorGinModule.java,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-codeEdit-amd.js.diff,Roman Iuvshin
Sat Sep 10 11:13:01 2016,embeddedToolingPlugin.js.diff,Roman Iuvshin
Sat Sep 10 11:13:01 2016,fix_focus.diff,Roman Iuvshin
Sat Sep 10 11:13:01 2016,fix_goto_line.diff,Roman Iuvshin
Sat Sep 10 11:13:01 2016,fix_scrolling.diff,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-codeEdit-amd.js,Roman Iuvshin
Sat Sep 10 11:13:01 2016,built-codeEdit.css,Roman Iuvshin
Sat Sep 10 11:13:01 2016,plugin.js,Roman Iuvshin
Sat Sep 10 11:13:01 2016,plugin.html,Roman Iuvshin
