date_time,file,committer_name
Fri Mar 30  9:04:44 2018,launch.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,settings.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,package.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,package.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,package.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,github-frontend-module.ts,Igor Vinokur
Fri Mar 30  9:04:44 2018,github-model.ts,Igor Vinokur
Fri Mar 30  9:04:44 2018,github-service.ts,Igor Vinokur
Fri Mar 30  9:04:44 2018,github-backend-module.ts,Igor Vinokur
Fri Mar 30  9:04:44 2018,github-service-impl.ts,Igor Vinokur
Fri Mar 30  9:04:44 2018,tsconfig.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,lerna.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,package.json,Igor Vinokur
Fri Mar 30  9:04:44 2018,yarn.lock,Igor Vinokur
