date_time,file,committer_name
Thu Aug 17 12:00:35 2017,ProjectManager.java,Dmytro Kulieshov
Sat Aug 19 12:26:43 2017,EditorFileStatusNotificationOperation.java,Dmytro Kulieshov
Sat Aug 19 12:26:43 2017,OrionEditorPresenter.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,ResultConfiguratorFromMany.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,ResultConfiguratorFromOne.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,SendConfiguratorFromMany.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,SendConfiguratorFromNone.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,SendConfiguratorFromOne.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,ClientServerEventService.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,ClientServerEventServiceImpl.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,AutoSaveModeImpl.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,EditorWorkingCopySynchronizer.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,EditorWorkingCopySynchronizerImpl.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,OrganizeImportsPresenterTest.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,MovePresenterTest.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,PreviewPresenterTest.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,JavaRefactoringRenameTest.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,RenamePresenterTest.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,EditorChangesTracker.java,Dmytro Kulieshov
Mon Sep  4  9:26:45 2017,EditorFileOperationHandler.java,Dmytro Kulieshov
