date_time,file,committer_name
Wed Sep 18 11:49:43 2019,NewWorkspace.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,TheiaIde.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,CreateAndDeleteProjectsTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,CreateWorkspaceTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,ImportMavenProjectFromGitTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,ImportProjectFromGitHubTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,AddWorkspaceToOrganizationTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,ShareWorkspaceOwnerTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,DirectUrlFactoryWithKeepDirectoryTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,DirectUrlFactoryWithRootFolderTest.java,Sergey Skorik
Wed Sep 18 11:49:43 2019,DirectUrlFactoryWithSpecificBranchTest.java,Sergey Skorik
Tue Sep 24  9:08:34 2019,OpenShiftKeycloakCliCommandExecutor.java,Sergey Skorik
Tue Sep 24  9:08:34 2019,Workspaces.java,Sergey Skorik
Tue Sep 24  9:08:34 2019,OpenShiftLoginPage.java,Sergey Skorik
Tue Sep 24  9:08:34 2019,OpenShiftProjectCatalogPage.java,Sergey Skorik
Tue Sep 24  9:08:34 2019,LoginExistedUserWithOpenShiftOAuthTest.java,Sergey Skorik
Tue Sep 24  9:08:34 2019,LoginNewUserWithOpenShiftOAuthTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,CreateWorkspaceHelper.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,WorkspaceOverview.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,Workspaces.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,TheiaIde.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,CreateFactoryTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,DeleteRunningWorkspaceTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,DeleteStoppingWorkspaceTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,FactoriesListTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,RenameWorkspaceTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,AddWorkspaceToOrganizationTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,ShareWorkspaceMemberTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,WorkspaceDetailsOverviewTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,DirectUrlFactoryWithKeepDirectoryTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,DirectUrlFactoryWithRootFolderTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,DirectUrlFactoryWithSpecificBranchTest.java,Sergey Skorik
Thu Sep 26 13:07:32 2019,CheOneThreadTestsSuite.xml,Sergey Skorik
Thu Sep 26 13:07:32 2019,CheSuite.xml,Sergey Skorik
Thu Oct  3 10:05:15 2019,TheiaIde.java,Sergey Skorik
Thu Oct  3 10:05:15 2019,TheiaProjectTree.java,Sergey Skorik
Thu Oct  3 10:05:15 2019,CheckStoppingWsByTimeoutTest.java,Sergey Skorik
Thu Oct  3 10:05:15 2019,ProjectStateAfterRefreshTest.java,Sergey Skorik
Thu Oct  3 10:05:15 2019,ProjectStateAfterRenameWorkspaceTest.java,Sergey Skorik
Thu Oct  3 10:05:15 2019,ProjectStateAfterWorkspaceRestartTest.java,Sergey Skorik
Fri Oct  4 10:01:32 2019,HotUpdateUtil.java,Sergey Skorik
Fri Oct  4 10:01:32 2019,Workspaces.java,Sergey Skorik
Fri Oct  4 10:01:32 2019,RollingUpdateStrategyWithEditorTest.java,Sergey Skorik
Fri Oct  4 10:01:32 2019,RollingUpdateStrategyWithStartedWorkspaceTest.java,Sergey Skorik
Fri Oct  4 10:01:32 2019,RollingUpdateStrategyWithWorkspacesStartStopTest.java,Sergey Skorik
Fri Oct  4 13:59:35 2019,RecreateUpdateStrategyTest.java,Sergey Skorik
