date_time,file,committer_name
Tue Jun 18 16:52:25 2019,.gitignore,Toby Corbin
Tue Jun 18 16:52:25 2019,.travis.yml,Toby Corbin
Tue Jun 18 16:52:25 2019,launch.json,Toby Corbin
Tue Jun 18 16:52:25 2019,LICENSE.md,Toby Corbin
Tue Jun 18 16:52:25 2019,LICENSE.md,Toby Corbin
Tue Jun 18 16:52:25 2019,NOTICE.md,Toby Corbin
Tue Jun 18 16:52:25 2019,NOTICE.md,Toby Corbin
Tue Jun 18 16:52:25 2019,README.md,Toby Corbin
Tue Jun 18 16:52:25 2019,docker-compose-dev.yaml,Toby Corbin
Tue Jun 18 16:52:25 2019,docker-compose.yaml,Toby Corbin
Tue Jun 18 16:52:25 2019,index.html,Toby Corbin
Tue Jun 18 16:52:25 2019,openapi.yml,Toby Corbin
Tue Jun 18 16:52:25 2019,run.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,build.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,cleanup.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,icp_push.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,icp_tag.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,list-copyrights.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,platform.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,upload.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,upload_images.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,.dockerignore,Toby Corbin
Tue Jun 18 16:52:25 2019,.gitignore,Toby Corbin
Tue Jun 18 16:52:25 2019,Dockerfile,Toby Corbin
Tue Jun 18 16:52:25 2019,build,Toby Corbin
Tue Jun 18 16:52:25 2019,package-lock.json,Toby Corbin
Tue Jun 18 16:52:25 2019,package.json,Toby Corbin
Tue Jun 18 16:52:25 2019,ProjectInitializer.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,cwSettingsController.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,gitController.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,replaceController.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,typeDetectionController.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,run-docker.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,initializeTypes.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,ProjectInitializer.test.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,cwSettingsController.test.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,gitController.test.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,run-docker.test.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,typeDetectionController.test.ts,Toby Corbin
Tue Jun 18 16:52:25 2019,tsconfig.json,Toby Corbin
Tue Jun 18 16:52:25 2019,tslint.json,Toby Corbin
Tue Jun 18 16:52:25 2019,.dockerignore,Toby Corbin
Tue Jun 18 16:52:25 2019,.gitignore,Toby Corbin
Tue Jun 18 16:52:25 2019,Dockerfile_x86_64,Toby Corbin
Tue Jun 18 16:52:25 2019,build,Toby Corbin
Tue Jun 18 16:52:25 2019,docker-compose.yml,Toby Corbin
Tue Jun 18 16:52:25 2019,package.json,Toby Corbin
Tue Jun 18 16:52:25 2019,runload.js,Toby Corbin
Tue Jun 18 16:52:25 2019,package-lock.json,Toby Corbin
Tue Jun 18 16:52:25 2019,package.json,Toby Corbin
Tue Jun 18 16:52:25 2019,.gitignore,Toby Corbin
Tue Jun 18 16:52:25 2019,README.md,Toby Corbin
Tue Jun 18 16:52:25 2019,package-lock.json,Toby Corbin
Tue Jun 18 16:52:25 2019,package.json,Toby Corbin
Tue Jun 18 16:52:25 2019,index.html,Toby Corbin
Tue Jun 18 16:52:25 2019,App.js,Toby Corbin
Tue Jun 18 16:52:25 2019,App.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,AppConstants.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ErrorBoundary.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ChartsPageActionBar.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ActionModifyTestRunParameters.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ActionRunLoad.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ActionRunLoad.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,Chart.css,Toby Corbin
Tue Jun 18 16:52:25 2019,Chart.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ChartList.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,HeaderBar.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,HeaderBar.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,DescriptionEditor.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,DescriptionEditor.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,LoadTestCard.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,LoadTestCard.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,TestCardTooltipHTTP.js,Toby Corbin
Tue Jun 18 16:52:25 2019,TestCardTooltips.js,Toby Corbin
Tue Jun 18 16:52:25 2019,TestCardTooltips.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,AddFilteredLoadTestAction.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,DeleteTestAction.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,LoadTestList.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,LoadTestList.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,LocaleSwitcher.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,LocaleSwitcher.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalDeleteTest.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalModifyLoadTests.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalModifyLoadTests.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalNoProjectID.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalNoProjectID.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalRunTest.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalRunTest.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,RunTestNotificationFail.js,Toby Corbin
Tue Jun 18 16:52:25 2019,RunTestNotificationOK.js,Toby Corbin
Tue Jun 18 16:52:25 2019,index.js,Toby Corbin
Tue Jun 18 16:52:25 2019,MetricsUtils.js,Toby Corbin
Tue Jun 18 16:52:25 2019,PageCharts.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,PageCharts.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,PageManageTests.jsx,Toby Corbin
Tue Jun 18 16:52:25 2019,PageManageTests.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,serviceWorker.js,Toby Corbin
Tue Jun 18 16:52:25 2019,setupTests.js,Toby Corbin
Tue Jun 18 16:52:25 2019,loadRunnerConfigActions.js,Toby Corbin
Tue Jun 18 16:52:25 2019,localeActions.js,Toby Corbin
Tue Jun 18 16:52:25 2019,projectMetricTypesActions.js,Toby Corbin
Tue Jun 18 16:52:25 2019,projectMetricsActions.js,Toby Corbin
Tue Jun 18 16:52:25 2019,types.js,Toby Corbin
Tue Jun 18 16:52:25 2019,index.js,Toby Corbin
Tue Jun 18 16:52:25 2019,loadRunnerConfigReducer.js,Toby Corbin
Tue Jun 18 16:52:25 2019,localeReducer.js,Toby Corbin
Tue Jun 18 16:52:25 2019,projectMetricTypesReducer.js,Toby Corbin
Tue Jun 18 16:52:25 2019,projectMetricsReducer.js,Toby Corbin
Tue Jun 18 16:52:25 2019,store.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ChartsPageActionBar.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ActionModifyTestRunParameters.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,Chart.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ChartList.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,HeaderBar.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,DescriptionEditor.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,LoadTestCard.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,DeleteTestAction.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,LoadTestList.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,LocaleSwitcher.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalDeleteTest.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalModifyLoadTests.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalNoProjectID.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ModalRunTest.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,RunTestNotificationFail.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,RunTestNotificationOK.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,ChartModels.js,Toby Corbin
Tue Jun 18 16:52:25 2019,MetricsTypes.js,Toby Corbin
Tue Jun 18 16:52:25 2019,PageCharts.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,PageManageTests.test.js,Toby Corbin
Tue Jun 18 16:52:25 2019,MockSocket.js,Toby Corbin
Tue Jun 18 16:52:25 2019,IBM-Bee.svg,Toby Corbin
Tue Jun 18 16:52:25 2019,default.scss,Toby Corbin
Tue Jun 18 16:52:25 2019,microclimate-logo.svg,Toby Corbin
Tue Jun 18 16:52:25 2019,translations.js,Toby Corbin
Tue Jun 18 16:52:25 2019,dateTime.js,Toby Corbin
Tue Jun 18 16:52:25 2019,projectUtils.js,Toby Corbin
Tue Jun 18 16:52:25 2019,SocketContext.js,Toby Corbin
Tue Jun 18 16:52:25 2019,SocketEvents.js,Toby Corbin
Tue Jun 18 16:52:25 2019,server.js,Toby Corbin
Tue Jun 18 16:52:25 2019,.dockerignore,Toby Corbin
Tue Jun 18 16:52:25 2019,Dockerfile_x86_64,Toby Corbin
Tue Jun 18 16:52:25 2019,build,Toby Corbin
Tue Jun 18 16:52:25 2019,.dockerignore,Toby Corbin
Tue Jun 18 16:52:25 2019,.gitignore,Toby Corbin
Tue Jun 18 16:52:25 2019,README.md,Toby Corbin
Tue Jun 18 16:52:25 2019,Dockerfile-jdk-maven,Toby Corbin
Tue Jun 18 16:52:25 2019,libertyDockerfile,Toby Corbin
Tue Jun 18 16:52:25 2019,jvmbx.options,Toby Corbin
Tue Jun 18 16:52:25 2019,springDockerfile,Toby Corbin
Tue Jun 18 16:52:25 2019,build_and_update_features.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,build_docker_image.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,build_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,clean_build_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,clean_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,debug_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,build_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,new_entrypoint.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,start_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,stop_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,envvars.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,idc.config,Toby Corbin
Tue Jun 18 16:52:25 2019,Dockerfile-dev-setup,Toby Corbin
Tue Jun 18 16:52:25 2019,new_entrypoint.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,repositories.properties,Toby Corbin
Tue Jun 18 16:52:25 2019,run_docker.bat,Toby Corbin
Tue Jun 18 16:52:25 2019,run_docker.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,run_kubernetes.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,server_setup.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,start_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,status_tracker.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,stop_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,tail_server.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,idc,Toby Corbin
Tue Jun 18 16:52:25 2019,idc.bat,Toby Corbin
Tue Jun 18 16:52:25 2019,springPom.xml,Toby Corbin
Tue Jun 18 16:52:25 2019,cache-util.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,constants.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,docker-app-log.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,docker-build.sh,Toby Corbin
Tue Jun 18 16:52:25 2019,docker-remove.sh,Toby Corbin
