date_time,file,committer_name
Tue Jan 10  5:51:34 2023,.gitignore,Mike Thompson
Tue Jan 10  5:51:34 2023,conf.py,Mike Thompson
Tue Jan 10  5:51:34 2023,apb2apbcomp.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb2per.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_adv_timer.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_fll_if.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_gpio.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_peripheral_interconnect.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_timer.md,Mike Thompson
Tue Jan 10  5:51:34 2023,appendixA_terminology.md,Mike Thompson
Tue Jan 10  5:51:34 2023,cam.md,Mike Thompson
Tue Jan 10  5:51:34 2023,clock_domains.md,Mike Thompson
Tue Jan 10  5:51:34 2023,clock_domains.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_event_cntrl_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_gpio_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_i2cs_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_soc_ctrl_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_timer_unit_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,efpga_template_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_camera_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_ctrl_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_i2cm_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_qspi_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_sdio_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_uart_reg_defs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,cv32e40p_subsystem.md,Mike Thompson
Tue Jan 10  5:51:34 2023,debug_approach.md,Mike Thompson
Tue Jan 10  5:51:34 2023,debug_approach.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,device_characteristics.md,Mike Thompson
Tue Jan 10  5:51:34 2023,device_characteristics.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,efpga_subsystem.md,Mike Thompson
Tue Jan 10  5:51:34 2023,efpga_subsystem.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,evaluation_kits.md,Mike Thompson
Tue Jan 10  5:51:34 2023,evaluation_kits.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,fabric_control_subsystem.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,github.md,Mike Thompson
Tue Jan 10  5:51:34 2023,high_level_architecture.md,Mike Thompson
Tue Jan 10  5:51:34 2023,high_level_architecture.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,i2cm.md,Mike Thompson
Tue Jan 10  5:51:34 2023,i2cs.md,Mike Thompson
Tue Jan 10  5:51:34 2023,integration.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,interrupts.md,Mike Thompson
Tue Jan 10  5:51:34 2023,interrupts.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,io_assignment_tables.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_adv_timer.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_event_cntrl.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_fll_if.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_gpio.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_i2cs.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_soc_ctrl.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,apb_timer.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_cam.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_i2cm.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_qspim.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_sdio.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_uart.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,l2_tcdm_interconnect.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,logarithmic_interconnect.md,Mike Thompson
Tue Jan 10  5:51:34 2023,mmap.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,open-source-development-at-openhw.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,overview.md,Mike Thompson
Tue Jan 10  5:51:34 2023,overview.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,package_information.md,Mike Thompson
Tue Jan 10  5:51:34 2023,package_information.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,pin-table.md,Mike Thompson
Tue Jan 10  5:51:34 2023,qspim.md,Mike Thompson
Tue Jan 10  5:51:34 2023,sdio.md,Mike Thompson
Tue Jan 10  5:51:34 2023,software_support.md,Mike Thompson
Tue Jan 10  5:51:34 2023,software_support.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,startup.md,Mike Thompson
Tue Jan 10  5:51:34 2023,startup.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,system_control_peripherals.md,Mike Thompson
Tue Jan 10  5:51:34 2023,terminology.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,uart.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma.md,Mike Thompson
Tue Jan 10  5:51:34 2023,udma_subsystem.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,index.rst,Mike Thompson
Tue Jan 10  5:51:34 2023,README.md,Mike Thompson
