date_time,file,committer_name
Tue Sep 14 14:44:38 2021,SnippetContentAssistProcessor.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,SnippetContentAssistProcessor.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestDebugConfiguration.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestErrorLineMatcher.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestExportCargoProjectWizard.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestIDEIntegration.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestLSPExtensions.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestLSPIntegration.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestNewCargoProjectWizard.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestRunConfiguration.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestRustAnalyzerDownload.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestSnippetContentAssistProcessor.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestSyntaxHighlighting.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,SnippetContentAssistProcessor.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,AbstractCorrosionTest.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,AbstractCorrosionTest.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestExportCargoProjectWizard.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestNewCargoProjectWizard.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestExportCargoProjectWizard.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,TestNewCargoProjectWizard.java,Alexander Kurtakov
Tue Sep 14 14:44:38 2021,NewCargoProjectWizardPage.java,Alexander Kurtakov
