date_time,file,committer_name
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
Fri May 29  8:01:02 2020,build-linux-x86_64.sh,Serhii Shepel
Fri May 29  8:01:02 2020,settings.xml,Serhii Shepel
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,build-linux-x86_64.sh,Serhii Shepel
Fri May 29  8:01:02 2020,settings.xml,Serhii Shepel
Fri May 29  8:01:02 2020,formatter.xml,Serhii Shepel
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE.txt,Serhii Shepel
Fri May 29  8:01:02 2020,build-linux-x86_64.sh,Serhii Shepel
Fri May 29  8:01:02 2020,settings.xml,Serhii Shepel
Fri May 29  8:01:02 2020,formatter.xml,Serhii Shepel
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,CMakeLists.txt,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,.appveyor.yml,Serhii Shepel
Fri May 29  8:01:02 2020,.codeclimate.yml,Serhii Shepel
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,VERSION,Serhii Shepel
Fri May 29  8:01:02 2020,buildAllversions.sh,Serhii Shepel
Fri May 29  8:01:02 2020,build-android.sh,Serhii Shepel
Fri May 29  8:01:02 2020,build-ios.sh,Serhii Shepel
Fri May 29  8:01:02 2020,build-linux-x86_64.sh,Serhii Shepel
Fri May 29  8:01:02 2020,build-macosx-x86_64.sh,Serhii Shepel
Fri May 29  8:01:02 2020,build-windows-x86_64.cmd,Serhii Shepel
Fri May 29  8:01:02 2020,settings.xml,Serhii Shepel
Fri May 29  8:01:02 2020,formatter.xml,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,pom.xml,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,README.md,Serhii Shepel
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,perform-release.sh,Serhii Shepel
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,README.md,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE,Serhii Shepel
Fri May 29  8:01:02 2020,README.md,Serhii Shepel
Fri May 29  8:01:02 2020,LICENSE.txt,Serhii Shepel
Fri May 29  8:01:02 2020,README.md,Serhii Shepel
Fri May 29  8:01:02 2020,formatter.xml,Serhii Shepel
Fri May 29  8:01:02 2020,.travis.yml,Serhii Shepel
