date_time,file,committer_name
Fri Apr 23  5:45:34 2010,CharOperation.java,apanchenk
Fri Apr 23  5:57:32 2010,ScriptCompletionEngine.java,apanchenk
Fri Apr 23  7:12:47 2010,SourceRange.java,apanchenk
Fri Apr 23  7:12:47 2010,SourceRange.java,apanchenk
Fri Apr 23  7:20:06 2010,SourceRange.java,apanchenk
Fri Apr 23  7:20:06 2010,SourceRange.java,apanchenk
Fri Apr 23  7:23:18 2010,CoreDDPTests.java,apanchenk
Fri Apr 23  8:34:45 2010,IntList.java,apanchenk
Fri Apr 23  8:35:57 2010,IntList.java,apanchenk
Fri Apr 23 10:42:32 2010,DLTKSearchParticipant.java,apanchenk
Fri Apr 23 10:42:32 2010,SearchDocument.java,apanchenk
Fri Apr 23 10:42:32 2010,SearchParticipant.java,apanchenk
Fri Apr 23 10:42:32 2010,Index.java,apanchenk
Fri Apr 23 10:42:32 2010,AbstractIndexer.java,apanchenk
Fri Apr 23 10:42:32 2010,IndexDocument.java,apanchenk
Fri Apr 23 10:42:32 2010,InternalSearchDocument.java,apanchenk
Fri Apr 23 10:42:32 2010,AbstractProjectIndexer.java,apanchenk
Fri Apr 23 10:42:32 2010,MixinIndexer.java,apanchenk
Fri Apr 23 10:42:32 2010,MixinProjectIndexer.java,apanchenk
Fri Apr 23 10:42:32 2010,StructureIndexer.java,apanchenk
Fri Apr 23 10:42:32 2010,StructureProjectIndexer.java,apanchenk
Sun Apr 25 11:16:27 2010,ExternalProjectFragment.java,apanchenk
Sun Apr 25 17:04:22 2010,ScriptCompletionProposalCollector.java,apanchenk
Mon Apr 26 12:57:49 2010,ScriptCompletionEngine.java,apanchenk
Tue Apr 27 10:55:43 2010,StringList.java,apanchenk
Wed Apr 28 16:27:12 2010,AbstractSearchFactory.java,apanchenk
Thu Apr 29 12:37:23 2010,AbstractTodoTaskBuildParticipantType.java,apanchenk
Wed May  5  9:52:49 2010,SourceElementRequestVisitor.java,apanchenk
Fri May  7  8:42:47 2010,StructureIndexer.java,apanchenk
Fri May  7 11:41:36 2010,CharOperation.java,apanchenk
Tue May 11  8:10:46 2010,InternalCompletionProposal.java,apanchenk
Tue May 11  8:10:46 2010,CompletionProposal.java,apanchenk
Tue May 11 12:34:05 2010,LazyScriptCompletionProposal.java,apanchenk
Tue May 11 12:34:33 2010,ScriptTemplateCompletionProcessor.java,apanchenk
Tue May 11 12:34:49 2010,ScriptTemplateProposal.java,apanchenk
Tue May 11 12:39:32 2010,plugin.xml,apanchenk
Tue May 11 12:39:32 2010,completion.exsd,apanchenk
Tue May 11 12:39:32 2010,CompletionProposalLabelProvider.java,apanchenk
Tue May 11 12:39:32 2010,CompletionProposalLabelProviderRegistry.java,apanchenk
Tue May 11 12:39:32 2010,ScriptCompletionProcessor.java,apanchenk
Tue May 11 12:39:32 2010,ScriptCompletionProposalCollector.java,apanchenk
Tue May 11 12:39:32 2010,ScriptCompletionProposalComputer.java,apanchenk
Tue May 11 12:39:32 2010,ScriptContentAssistInvocationContext.java,apanchenk
Tue May 11 12:39:51 2010,FocusedDLTKAllProposalComputer.java,apanchenk
Tue May 11 13:11:12 2010,AbstractConfigurationBlockPreferencePage.java,apanchenk
Tue May 11 13:38:22 2010,CompletionProposalLabelProvider.java,apanchenk
Tue May 11 13:38:22 2010,ScriptCompletionProposalCollector.java,apanchenk
Tue May 11 13:43:19 2010,ScriptCompletionProposalCollector.java,apanchenk
Mon May 17 11:20:13 2010,ScriptModelUtil.java,apanchenk
Mon May 17 11:20:13 2010,ElementTypeDescriber.java,apanchenk
Mon May 17 11:20:53 2010,ModelElement.java,apanchenk
Mon May 17 11:21:29 2010,MANIFEST.MF,apanchenk
Mon May 17 11:21:29 2010,ILocalVariable.java,apanchenk
Mon May 17 11:21:29 2010,IModelElement.java,apanchenk
Mon May 17 11:21:29 2010,LocalVariable.java,apanchenk
Tue May 18  6:45:16 2010,BinaryModuleStructureRequestor.java,apanchenk
Tue May 18  6:49:51 2010,BinaryModuleStructureRequestor.java,apanchenk
Tue May 18 10:54:08 2010,ICodeAssist.java,apanchenk
Tue May 18 10:54:08 2010,ScriptModelUtil.java,apanchenk
Tue May 18 10:54:08 2010,Openable.java,apanchenk
Tue May 18 10:55:08 2010,SelectionConverter.java,apanchenk
Tue May 18 10:55:08 2010,TextSelectionConverter.java,apanchenk
Tue May 18 10:55:13 2010,ModelStatus.java,apanchenk
Tue May 18 11:04:47 2010,IMixinRequestor.java,apanchenk
Wed May 19  8:17:01 2010,ScriptEditor.java,apanchenk
Wed May 19  8:18:19 2010,LocalVariable.java,apanchenk
Wed May 19 11:55:31 2010,DLTKUIMessages.properties,apanchenk
Wed May 19 11:55:31 2010,OpenTypeAction.java,apanchenk
Wed May 19 13:30:05 2010,CompletionProposalLabelProvider.java,apanchenk
Thu May 20 12:54:23 2010,CompletionProposalLabelProvider.java,apanchenk
Thu May 20 13:33:26 2010,ScriptCompletionProposal.java,apanchenk
Thu May 20 15:23:56 2010,ScriptElementLabels.java,apanchenk
Thu May 20 15:23:56 2010,CompletionProposalLabelProvider.java,apanchenk
Fri May 21  6:42:38 2010,ScriptOpenSearchPageAction.java,apanchenk
Fri May 21  8:52:06 2010,ScriptElementLabels.java,apanchenk
Sat May 22 17:32:27 2010,BinaryModule.java,apanchenk
