date_time,file,committer_name
Tue Jul  7 21:34:35 2015,AdapterManagerTracker.java,slewis
Tue Jul  7 21:34:35 2015,PlatformHelper.java,slewis
Tue Jul  7 21:58:29 2015,MANIFEST.MF,slewis
Tue Jul  7 21:58:29 2015,RemoteServiceAdmin.java,slewis
Mon Jul 13 22:25:31 2015,Activator.java,slewis
Tue Jul 14 15:24:11 2015,EndpointDescriptionWriter.java,slewis
Tue Jul 14 21:48:37 2015,MANIFEST.MF,slewis
Tue Jul 14 21:48:37 2015,Trace.java,slewis
Tue Jul 14 21:48:37 2015,MANIFEST.MF,slewis
Tue Jul 14 21:48:37 2015,ContainerTypeDescription.java,slewis
Tue Jul 14 21:48:37 2015,ECFPlugin.java,slewis
Tue Jul 14 21:56:08 2015,Trace.java,slewis
Wed Jul 15 15:24:21 2015,Trace.java,slewis
Wed Jul 15 17:06:21 2015,Trace.java,slewis
Wed Jul 15 19:56:36 2015,.classpath,slewis
Wed Jul 15 19:56:36 2015,org.eclipse.jdt.core.prefs,slewis
Wed Jul 15 19:56:36 2015,MANIFEST.MF,slewis
Wed Jul 15 19:56:36 2015,Client.java,slewis
Wed Jul 15 19:56:36 2015,SSLServerSOContainerGroup.java,slewis
Wed Jul 15 19:56:36 2015,TCPServerSOContainerGroup.java,slewis
Wed Jul 15 20:24:34 2015,MANIFEST.MF,slewis
Wed Jul 15 20:24:34 2015,org.eclipse.ecf.tests.launch,slewis
Wed Jul 15 20:24:34 2015,SSLContainerAbstractTestCase.java,slewis
Wed Jul 15 20:24:34 2015,SSLClientContainerConnectTest.java,slewis
Thu Jul 16  6:01:50 2015,SSLGenericContainerInstantiator.java,slewis
Thu Jul 16  6:01:50 2015,SSLServerSOContainer.java,slewis
Thu Jul 16  6:01:50 2015,SSLServerSOContainerGroup.java,slewis
Thu Jul 16 20:10:59 2015,MANIFEST.MF,slewis
Thu Jul 16 20:10:59 2015,SCPOutgoingTest.java,slewis
Thu Jul 16 20:35:34 2015,MANIFEST.MF,slewis
Thu Jul 16 20:35:34 2015,XMPPOutgoingTest.java,slewis
Thu Jul 16 20:35:34 2015,XMPPSOutgoingTest.java,slewis
Sat Jul 18  1:32:52 2015,.classpath,slewis
Sat Jul 18  1:32:52 2015,org.eclipse.jdt.core.prefs,slewis
Sat Jul 18  1:32:52 2015,MANIFEST.MF,slewis
Sat Jul 18  1:32:52 2015,XMPPOutgoingTest.java,slewis
Sat Jul 18  1:32:52 2015,test.txt,slewis
Sat Jul 18  4:42:00 2015,XMPPOutgoingTest.java,slewis
Tue Jul 21 21:33:09 2015,.api_filters,slewis
Tue Jul 21 21:33:09 2015,AbstractConsumerContainerSelector.java,slewis
Tue Jul 21 21:33:09 2015,ConsumerContainerSelector.java,slewis
Tue Jul 21 21:33:09 2015,EndpointDescriptionLocator.java,slewis
Tue Jul 21 21:33:09 2015,HostContainerSelector.java,slewis
Tue Jul 21 21:33:09 2015,RemoteServiceAdmin.java,slewis
Tue Jul 21 21:39:20 2015,.api_filters,slewis
Tue Jul 21 21:39:20 2015,BaseID.java,slewis
Tue Jul 21 21:39:20 2015,Namespace.java,slewis
Tue Jul 21 21:39:20 2015,AbstractFactory.java,slewis
Tue Jul 21 21:39:20 2015,AdapterManagerTracker.java,slewis
Tue Jul 21 21:39:20 2015,ExtensionRegistryRunnable.java,slewis
Tue Jul 21 21:39:20 2015,IDFactoryTracker.java,slewis
Tue Jul 21 21:39:20 2015,PlatformHelper.java,slewis
Tue Jul 21 21:39:20 2015,StringUtils.java,slewis
Tue Jul 21 21:39:20 2015,SystemLogService.java,slewis
Tue Jul 21 21:39:20 2015,Activator.java,slewis
Fri Jul 24  0:32:13 2015,org.eclipse.jdt.core.prefs,slewis
Fri Jul 24  0:32:13 2015,MANIFEST.MF,slewis
Fri Jul 24  0:32:13 2015,ServicePropertiesAdapter.java,slewis
Fri Jul 24  3:50:35 2015,XMPPID.java,slewis
Fri Jul 24  4:00:30 2015,MANIFEST.MF,slewis
Fri Jul 24  4:00:30 2015,BrowseHandler.java,slewis
Fri Jul 24  4:00:30 2015,messages.properties,slewis
Fri Jul 24  4:00:30 2015,MessageNotificationPopup.java,slewis
Fri Jul 24  4:00:30 2015,MessagesView.java,slewis
Fri Jul 24  4:00:30 2015,MultiRosterView.java,slewis
Fri Jul 24  4:00:30 2015,ChatRoomManagerView.java,slewis
Fri Jul 24  4:00:30 2015,MANIFEST.MF,slewis
Fri Jul 24  4:00:30 2015,plugin.xml,slewis
Fri Jul 24  4:00:30 2015,XMPPHyperlink.java,slewis
Fri Jul 24  4:00:30 2015,XMPPConnectWizard.java,slewis
Fri Jul 24  5:39:28 2015,MANIFEST.MF,slewis
Fri Jul 24  5:39:28 2015,MessagesView.java,slewis
Fri Jul 24 16:58:55 2015,MessagesView.java,slewis
Fri Jul 24 23:39:32 2015,MANIFEST.MF,slewis
Fri Jul 24 23:39:32 2015,DiscoveryView.java,slewis
Sat Jul 25  3:55:01 2015,MANIFEST.MF,slewis
Sat Jul 25  3:55:01 2015,ECFHttpClientProtocolSocketFactory.java,slewis
Sat Jul 25  3:55:01 2015,ECFHttpClientSecureProtocolSocketFactory.java,slewis
Sat Jul 25  4:49:57 2015,MANIFEST.MF,slewis
Sat Jul 25  4:49:57 2015,JMDNSDiscoveryContainer.java,slewis
Sat Jul 25  5:22:08 2015,URLBrowseTest.java,slewis
Sat Jul 25  5:22:08 2015,URLRetrieveTest.java,slewis
Sat Jul 25  5:22:08 2015,URLRetrieveTestWithCustomJob.java,slewis
Sat Jul 25  6:01:01 2015,JMDNSDiscoveryContainer.java,slewis
Sat Jul 25 16:12:57 2015,TestServiceListener.java,slewis
Sat Jul 25 16:42:11 2015,TestServiceListener.java,slewis
Sat Jul 25 21:42:01 2015,Activator.java,slewis
Sat Jul 25 22:20:47 2015,MANIFEST.MF,slewis
Sat Jul 25 22:20:47 2015,EndpointDiscoveryView.java,slewis
Sat Jul 25 22:46:51 2015,EndpointDiscoveryView.java,slewis
