date_time,file,committer_name
Tue Nov 22 15:20:24 2016,.travis.sh,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,.travis.yml,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,pom.xml,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,eclemma-e3.8.target,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,eclemma-e4.3.target,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,eclemma-e4.4.target,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,eclemma-e4.5.target,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,eclemma-e4.6.target,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,eclemma-e4.7.target,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,.classpath,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,.gitignore,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,.project,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,MANIFEST.MF,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,build.properties,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,pom.xml,Evgeny Mandrikov
Tue Nov 22 15:20:24 2016,ExportImportTest.java,Evgeny Mandrikov
