date_time,file,committer_name
Tue Nov  9 19:40:52 2010,plist.xml,Darin Wright
Tue Nov  9 19:40:52 2010,AutomatedSuite.java,Darin Wright
Tue Nov  9 19:40:52 2010,PListParserTests.java,Darin Wright
Tue Nov  9 19:40:52 2010,InstalledJREsBlock.java,Darin Wright
Tue Nov  9 19:40:52 2010,JREMessages.properties,Darin Wright
Tue Nov  9 19:40:52 2010,MacVMSearch.java,Darin Wright
Tue Nov  9 19:40:52 2010,MacOSXLauncherMessages.properties,Darin Wright
Tue Nov  9 19:40:52 2010,MacOSXVMInstallType.java,Darin Wright
Tue Nov  9 19:40:52 2010,MacInstalledJREs.java,Darin Wright
Tue Nov  9 19:40:52 2010,PListParser.java,Darin Wright
