date_time,file,committer_name
Mon Aug  5  9:54:15 2002,ASTRewritingTypeDeclTest.java,Martin Aeschlimann
Mon Aug  5  9:54:15 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Mon Aug  5 14:00:45 2002,JavaStructureCreator.java,Martin Aeschlimann
Mon Aug  5 16:33:30 2002,AutomatedSuite.java,Martin Aeschlimann
Mon Aug  5 16:33:30 2002,ASTRewritingTypeDeclTest.java,Martin Aeschlimann
Mon Aug  5 16:45:11 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Tue Aug  6  9:40:03 2002,AutomatedSuite.java,Martin Aeschlimann
Tue Aug  6  9:44:31 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Wed Aug  7 15:21:10 2002,ASTRewritingMethodDeclTest.java,Martin Aeschlimann
Wed Aug  7 15:21:10 2002,ASTRewritingTypeDeclTest.java,Martin Aeschlimann
Wed Aug  7 15:22:04 2002,ASTNode2String.java,Martin Aeschlimann
Wed Aug  7 15:22:04 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Fri Aug  9 18:07:38 2002,ASTRewritingMoveCodeTest.java,Martin Aeschlimann
Fri Aug  9 18:07:38 2002,ASTRewritingTest.java,Martin Aeschlimann
Fri Aug  9 18:07:38 2002,ASTRewritingTypeDeclTest.java,Martin Aeschlimann
Fri Aug  9 18:07:38 2002,ASTNode2String.java,Martin Aeschlimann
Fri Aug  9 18:07:38 2002,ASTNodes.java,Martin Aeschlimann
Fri Aug  9 18:07:38 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Fri Aug  9 18:07:38 2002,Strings.java,Martin Aeschlimann
Mon Aug 12 10:04:33 2002,BuildPathsBlock.java,Martin Aeschlimann
Mon Aug 12 10:07:11 2002,NewVariableCompletionProposal.java,Martin Aeschlimann
Mon Aug 12 10:19:36 2002,LocalCorrectionsSubProcessor.java,Martin Aeschlimann
Mon Aug 12 15:38:37 2002,JavaTokenComparator.java,Martin Aeschlimann
Mon Aug 12 15:38:37 2002,CUCorrectionProposal.java,Martin Aeschlimann
Tue Aug 13 10:19:38 2002,CorrectionMessages.properties,Martin Aeschlimann
Tue Aug 13 10:19:38 2002,NewCUCompletionUsingWizardProposal.java,Martin Aeschlimann
Tue Aug 13 10:19:38 2002,UnresolvedElementsSubProcessor.java,Martin Aeschlimann
Tue Aug 13 16:47:36 2002,ASTRewritingMoveCodeTest.java,Martin Aeschlimann
Tue Aug 13 16:47:36 2002,ASTRewritingTest.java,Martin Aeschlimann
Tue Aug 13 16:47:36 2002,ASTRewritingTypeDeclTest.java,Martin Aeschlimann
Tue Aug 13 16:47:36 2002,ASTNode2String.java,Martin Aeschlimann
Tue Aug 13 16:47:36 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Tue Aug 13 16:47:36 2002,ASTRewriteCodeGenerate.java,Martin Aeschlimann
Wed Aug 14  7:53:12 2002,NewCUCompletionUsingWizardProposal.java,Martin Aeschlimann
Wed Aug 14  7:53:12 2002,UnresolvedElementsSubProcessor.java,Martin Aeschlimann
Wed Aug 14 15:41:07 2002,ASTFlattener.java,Martin Aeschlimann
Wed Aug 14 15:41:07 2002,ASTNodes.java,Martin Aeschlimann
Wed Aug 14 15:41:07 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Wed Aug 14 15:41:07 2002,ASTRewriteCodeGenerate.java,Martin Aeschlimann
Wed Aug 14 15:41:07 2002,ASTWithExistingFlattener.java,Martin Aeschlimann
Wed Aug 14 15:42:00 2002,ASTRewritingMethodDeclTest.java,Martin Aeschlimann
Wed Aug 14 15:42:00 2002,ASTRewritingMoveCodeTest.java,Martin Aeschlimann
Wed Aug 14 15:42:00 2002,ASTRewritingTest.java,Martin Aeschlimann
Thu Aug 15  8:13:11 2002,JavaUIMessages.properties,Martin Aeschlimann
Thu Aug 15  8:13:11 2002,CompilerPreferencePage.java,Martin Aeschlimann
Thu Aug 15 12:51:10 2002,TextBufferTest.java,Martin Aeschlimann
Thu Aug 15 12:57:11 2002,TextBufferTest.java,Martin Aeschlimann
Thu Aug 15 13:37:44 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Thu Aug 15 13:37:44 2002,ASTWithExistingFlattener.java,Martin Aeschlimann
Thu Aug 15 13:37:44 2002,MoveIndentedTextEdit.java,Martin Aeschlimann
Thu Aug 15 13:37:44 2002,MoveTextEdit.java,Martin Aeschlimann
Thu Aug 15 13:37:44 2002,Strings.java,Martin Aeschlimann
Thu Aug 15 16:17:11 2002,ASTRewritingMoveCodeTest.java,Martin Aeschlimann
Thu Aug 15 16:17:34 2002,ASTRewritingMoveCodeTest.java,Martin Aeschlimann
Mon Aug 19 16:14:50 2002,AutomatedSuite.java,Martin Aeschlimann
Mon Aug 19 16:14:50 2002,ASTRewritingExpressionsTest.java,Martin Aeschlimann
Mon Aug 19 16:14:50 2002,ASTRewritingMethodDeclTest.java,Martin Aeschlimann
Mon Aug 19 16:14:50 2002,ASTRewritingMoveCodeTest.java,Martin Aeschlimann
Mon Aug 19 16:14:50 2002,ASTRewritingStatementsTest.java,Martin Aeschlimann
Mon Aug 19 16:14:50 2002,ASTRewritingTest.java,Martin Aeschlimann
Mon Aug 19 16:14:50 2002,ASTRewritingTypeDeclTest.java,Martin Aeschlimann
Mon Aug 19 16:20:41 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Mon Aug 19 16:20:41 2002,ASTResolving.java,Martin Aeschlimann
Tue Aug 20  7:54:08 2002,NewCUCompletionUsingWizardProposal.java,Martin Aeschlimann
Tue Aug 20  7:54:08 2002,UnresolvedElementsSubProcessor.java,Martin Aeschlimann
Tue Aug 20  9:02:14 2002,CUCorrectionProposal.java,Martin Aeschlimann
Tue Aug 20  9:02:14 2002,CorrectionMessages.properties,Martin Aeschlimann
Tue Aug 20  9:02:14 2002,JavaCorrectionProcessor.java,Martin Aeschlimann
Tue Aug 20  9:02:14 2002,LocalCorrectionsSubProcessor.java,Martin Aeschlimann
Tue Aug 20  9:04:22 2002,LocalCorrectionsSubProcessor.java,Martin Aeschlimann
Tue Aug 20 14:06:11 2002,ASTRewritingExpressionsTest.java,Martin Aeschlimann
Tue Aug 20 14:06:11 2002,ASTFlattener.java,Martin Aeschlimann
Tue Aug 20 14:06:11 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Tue Aug 20 14:24:19 2002,CheckedTreeSelectionDialog.java,Martin Aeschlimann
Tue Aug 20 14:24:19 2002,OverrideMethodQuery.java,Martin Aeschlimann
Tue Aug 20 16:05:32 2002,ASTRewritingExpressionsTest.java,Martin Aeschlimann
Tue Aug 20 16:05:32 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Wed Aug 21  9:02:19 2002,ASTResolving.java,Martin Aeschlimann
Wed Aug 21  9:02:19 2002,CorrectionMessages.properties,Martin Aeschlimann
Wed Aug 21  9:02:19 2002,NewCUCompletionProposal.java,Martin Aeschlimann
Wed Aug 21  9:02:19 2002,UnresolvedElementsSubProcessor.java,Martin Aeschlimann
Wed Aug 21 10:20:56 2002,LocalCorrectionsSubProcessor.java,Martin Aeschlimann
Wed Aug 21 10:32:17 2002,ASTRewritingMethodDeclTest.java,Martin Aeschlimann
Wed Aug 21 10:32:17 2002,ASTRewritingTypeDeclTest.java,Martin Aeschlimann
Wed Aug 21 10:32:17 2002,ASTRewriteAnalyzer.java,Martin Aeschlimann
Wed Aug 21 14:22:29 2002,ASTRewritingExpressionsTest.java,Martin Aeschlimann
