date_time,file,committer_name
Fri Dec  3 19:42:13 2021,CorrectionMessages.java,Jeff Johnston
Fri Dec  3 19:42:13 2021,CorrectionMessages.properties,Jeff Johnston
Fri Dec  3 19:42:13 2021,MANIFEST.MF,Jeff Johnston
Fri Dec  3 19:42:13 2021,pom.xml,Jeff Johnston
Fri Dec  3 19:42:13 2021,AssistQuickFixTest.java,Jeff Johnston
Fri Dec  3 19:42:13 2021,IProposalRelevance.java,Jeff Johnston
Fri Dec  3 19:42:13 2021,QuickAssistProcessor.java,Jeff Johnston
Fri Dec  3 19:42:13 2021,AddStaticFavoriteProposal.java,Jeff Johnston
Fri Dec  3 21:00:12 2021,MANIFEST.MF,Jeff Johnston
Fri Dec  3 21:00:12 2021,pom.xml,Jeff Johnston
Fri Dec  3 21:00:12 2021,A.java,Jeff Johnston
Fri Dec  3 21:00:12 2021,A.java,Jeff Johnston
Fri Dec  3 21:00:12 2021,A.java,Jeff Johnston
Fri Dec  3 21:00:12 2021,A.java,Jeff Johnston
Fri Dec  3 21:00:12 2021,AllRefactoringTests.java,Jeff Johnston
Fri Dec  3 21:00:12 2021,UseSupertypeWherePossibleTests16.java,Jeff Johnston
Fri Dec  3 21:00:12 2021,SuperTypeConstraintsCreator.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,A_test804.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,A_test328.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,A_test329.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,A_test328.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,A_test329.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,A_test402.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,ExtractMethodTests1d8.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,ExtractMethodAnalyzer.java,Jeff Johnston
Thu Dec  9 21:14:54 2021,ExtractMethodRefactoring.java,Jeff Johnston
Tue Dec 14 22:17:14 2021,NecessaryParenthesesChecker.java,Jeff Johnston
Tue Dec 14 22:17:14 2021,OperatorPrecedence.java,Jeff Johnston
Tue Dec 14 22:17:14 2021,CleanUpTest16.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,A.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,C.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,Asuper.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,C.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,A.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,C.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,Asuper.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,C.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,PullUpTests.java,Jeff Johnston
Thu Dec 16  0:29:39 2021,PullUpRefactoringProcessor.java,Jeff Johnston
