date_time,file,committer_name
Fri Oct 29 11:04:39 2004,JavaAddElementFromHistory.java,Andrew Weinand
Fri Oct 29 11:04:39 2004,JavaCompareUtilities.java,Andrew Weinand
Fri Oct 29 11:04:39 2004,JavaHistoryAction.java,Andrew Weinand
Fri Oct 29 11:04:39 2004,JavaNode.java,Andrew Weinand
Fri Oct 29 11:04:39 2004,JavaParseTreeBuilder.java,Andrew Weinand
Fri Oct 29 11:04:39 2004,JavaReplaceWithEditionAction.java,Andrew Weinand
Fri Oct 29 11:04:39 2004,JavaStructureCreator.java,Andrew Weinand
Fri Oct 29 11:04:39 2004,JavaStructureDiffViewer.java,Andrew Weinand
Fri Oct 29 14:08:15 2004,JavaParseTreeBuilder.java,Andrew Weinand
Fri Oct 29 14:08:15 2004,JavaStructureCreator.java,Andrew Weinand
Mon Nov  1 18:07:47 2004,AllTypesCache.java,Andrew Weinand
