date_time,file,committer_name
Wed Nov 30  9:42:25 2016,MANIFEST.MF,Markus Duft
Wed Nov 30  9:42:25 2016,DebugCoreMessages.java,Markus Duft
Wed Nov 30  9:42:25 2016,DebugCoreMessages.properties,Markus Duft
Wed Nov 30  9:42:25 2016,GroupLaunch.java,Markus Duft
Wed Nov 30  9:42:25 2016,GroupLaunchConfigurationDelegate.java,Markus Duft
Wed Nov 30  9:42:25 2016,GroupLaunchElement.java,Markus Duft
Wed Nov 30  9:42:25 2016,plugin.properties,Markus Duft
Wed Nov 30  9:42:25 2016,plugin.xml,Markus Duft
Wed Nov 30  9:42:25 2016,MANIFEST.MF,Markus Duft
Wed Nov 30  9:42:25 2016,plugin.xml,Markus Duft
Wed Nov 30  9:42:25 2016,DebugUIMessages.java,Markus Duft
Wed Nov 30  9:42:25 2016,DebugUIMessages.properties,Markus Duft
Wed Nov 30  9:42:25 2016,ComboControlledStackComposite.java,Markus Duft
Wed Nov 30  9:42:25 2016,CommonTabLite.java,Markus Duft
Wed Nov 30  9:42:25 2016,GroupCycleHandler.java,Markus Duft
Wed Nov 30  9:42:25 2016,GroupElementLaunchedHandler.java,Markus Duft
Wed Nov 30  9:42:25 2016,GroupLaunchConfigurationSelectionDialog.java,Markus Duft
Wed Nov 30  9:42:25 2016,GroupLaunchConfigurationTabGroup.java,Markus Duft
Wed Nov 30  9:42:25 2016,GroupLaunchHandler.java,Markus Duft
Wed Nov 30  9:42:25 2016,UnsupportedModeHandler.java,Markus Duft
Mon Dec  5  9:06:50 2016,CommonTabLite.java,Markus Duft
Wed Dec  7  6:58:37 2016,GroupLaunchConfigurationTabGroup.java,Markus Duft
Wed Dec  7 10:20:19 2016,DebugUIMessages.java,Markus Duft
Wed Dec  7 10:20:19 2016,DebugUIMessages.properties,Markus Duft
Wed Dec  7 10:20:19 2016,GroupLaunchConfigurationSelectionDialog.java,Markus Duft
Wed Dec  7 10:43:02 2016,DebugPluginImages.java,Markus Duft
Wed Dec  7 10:43:02 2016,DebugUIMessages.properties,Markus Duft
Wed Dec  7 10:43:02 2016,IInternalDebugUIConstants.java,Markus Duft
Wed Dec  7 10:43:02 2016,ComboControlledStackComposite.java,Markus Duft
Wed Dec  7 10:43:02 2016,GroupLaunchConfigurationSelectionDialog.java,Markus Duft
Wed Dec  7 10:43:02 2016,GroupLaunchConfigurationTabGroup.java,Markus Duft
