date_time,file,committer_name
Sun May 19 13:23:41 2019,JavadocBasher.java,Paul Pazderski
Sun May 19 13:23:41 2019,MouseNavigator.java,Paul Pazderski
Sun May 19 13:23:41 2019,StyledTextLineSpacingProvider.java,Paul Pazderski
Sun May 19 13:23:41 2019,FileDialogVtbl.java,Paul Pazderski
Sun May 19 13:23:41 2019,ShellItemVtbl.java,Paul Pazderski
Sun May 19 13:23:41 2019,Snippet364.java,Paul Pazderski
Sun May 19 13:23:41 2019,Snippet365.java,Paul Pazderski
Sun May 19 13:23:41 2019,Snippet366.java,Paul Pazderski
Sun May 19 13:23:41 2019,Snippet368.java,Paul Pazderski
Sun May 19 13:23:41 2019,Snippet369.java,Paul Pazderski
Sun May 19 13:23:41 2019,Snippet374.java,Paul Pazderski
Sun May 19 13:23:41 2019,Snippet375.java,Paul Pazderski
Sun May 19 13:23:41 2019,Bug531634_LogoffListener.java,Paul Pazderski
Sun May 19 13:23:41 2019,Test_org_eclipse_swt_custom_StyledTextLineSpacingProvider.java,Paul Pazderski
Sun May 19 13:23:41 2019,Test_org_eclipse_swt_custom_StyledText_VariableLineHeight.java,Paul Pazderski
Tue Jun  4 22:22:07 2019,Snippet133.java,Paul Pazderski
Tue Jun  4 22:22:07 2019,Snippet337.java,Paul Pazderski
Wed Jun  5 17:18:50 2019,Snippet18.java,Paul Pazderski
Wed Jun  5 17:18:50 2019,Snippet366.java,Paul Pazderski
Wed Jun  5 17:39:11 2019,Snippet13.java,Paul Pazderski
Wed Jun  5 18:39:32 2019,Snippet25.java,Paul Pazderski
Wed Jun  5 19:07:54 2019,Snippet141.java,Paul Pazderski
Wed Jun  5 19:07:54 2019,Snippet288.java,Paul Pazderski
Wed Jun  5 19:49:08 2019,Snippet268.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet1.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet100.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet101.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet102.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet103.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet104.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet106.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet107.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet108.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet109.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet11.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet110.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet111.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet112.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet113.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet114.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet115.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet116.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet117.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet118.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet119.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet12.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet120.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet121.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet122.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet123.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet124.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet125.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet126.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet127.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet128.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet129.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet13.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet130.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet131.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet132.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet134.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet136.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet137.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet139.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet14.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet140.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet141.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet142.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet143.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet144.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet145.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet146.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet147.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet148.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet149.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet15.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet150.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet151.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet152.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet153.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet154.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet155.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet159.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet16.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet160.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet161.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet162.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet163.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet164.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet165.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet166.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet167.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet168.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet169.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet17.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet170.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet171.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet172.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet175.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet176.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet177.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet179.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet18.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet181.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet182.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet183.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet184.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet185.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet186.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet187.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet188.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet19.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet191.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet192.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet193.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet196.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet197.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet198.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet199.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet2.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet20.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet200.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet201.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet202.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet206.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet21.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet210.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet211.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet212.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet213.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet214.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet215.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet216.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet217.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet218.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet219.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet22.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet220.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet221.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet224.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet225.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet23.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet231.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet234.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet238.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet24.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet241.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet242.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet243.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet244.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet245.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet247.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet248.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet249.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet25.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet250.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet251.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet252.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet253.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet254.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet257.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet258.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet259.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet26.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet266.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet268.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet269.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet27.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet271.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet272.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet273.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet274.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet275.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet276.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet278.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet279.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet28.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet280.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet281.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet282.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet283.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet285.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet286.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet287.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet288.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet289.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet29.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet290.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet291.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet292.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet293.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet296.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet297.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet298.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet299.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet3.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet301.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet302.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet303.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet304.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet307.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet308.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet309.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet31.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet310.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet311.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet312.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet313.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet315.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet316.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet317.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet319.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet32.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet320.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet322.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet324.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet325.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet326.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet327.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet328.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet33.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet330.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet331.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet332.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet334.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet335.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet336.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet338.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet339.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet34.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet340.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet341.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet342.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet343.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet344.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet345.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet347.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet348.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet349.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet35.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet350.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet351.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet352.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet353.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet354.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet355.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet356.java,Paul Pazderski
Mon Jun 10 13:37:19 2019,Snippet357.java,Paul Pazderski
