date_time,file,committer_name
Mon Sep 12 15:00:44 2011,MANIFEST.MF,Eric Moffatt
Mon Sep 12 15:00:44 2011,MinMaxAddon.java,Eric Moffatt
Mon Sep 12 15:00:44 2011,FaderAnimationFeedback.java,Eric Moffatt
Mon Sep 12 15:00:44 2011,ViewsPreferencePage.java,Eric Moffatt
Wed Sep 21 13:47:42 2011,GenTopic.java,Eric Moffatt
Wed Sep 21 13:47:42 2011,UIEventPublisher.java,Eric Moffatt
Wed Sep 21 13:47:42 2011,UIEvents.java,Eric Moffatt
Wed Sep 21 14:06:15 2011,GenTopic.java,Eric Moffatt
Wed Sep 21 14:06:15 2011,ModelServiceImpl.java,Eric Moffatt
Wed Sep 21 14:06:15 2011,UIEvents.java,Eric Moffatt
Wed Sep 21 14:33:11 2011,PartActivationHistory.java,Eric Moffatt
Wed Sep 21 14:33:11 2011,PartServiceImpl.java,Eric Moffatt
Wed Sep 21 14:33:11 2011,EPartService.java,Eric Moffatt
Wed Sep 21 18:57:39 2011,MinMaxAddon.java,Eric Moffatt
Wed Sep 21 18:57:39 2011,TrimStack.java,Eric Moffatt
Wed Sep 21 18:57:39 2011,ModelServiceImpl.java,Eric Moffatt
Wed Sep 21 19:30:33 2011,PerspectiveSwitcher.java,Eric Moffatt
Fri Sep 23 15:11:47 2011,MinMaxAddon.java,Eric Moffatt
Fri Sep 23 15:11:47 2011,TrimStack.java,Eric Moffatt
Fri Sep 23 18:19:37 2011,GenTopic.java,Eric Moffatt
Fri Sep 23 18:19:37 2011,UIEvents.java,Eric Moffatt
Mon Sep 26 14:51:54 2011,PartRenderingEngine.java,Eric Moffatt
Mon Sep 26 15:25:42 2011,ActionBars.java,Eric Moffatt
Tue Sep 27 14:53:26 2011,WBWRenderer.java,Eric Moffatt
Tue Sep 27 18:00:02 2011,TrimStack.java,Eric Moffatt
Tue Sep 27 18:00:02 2011,ModelServiceImpl.java,Eric Moffatt
Tue Sep 27 18:00:02 2011,PartServiceImpl.java,Eric Moffatt
Tue Sep 27 18:00:02 2011,UIEventPublisher.java,Eric Moffatt
Tue Sep 27 18:00:02 2011,UIEvents.java,Eric Moffatt
Tue Sep 27 19:27:56 2011,MWindowTest.java,Eric Moffatt
Fri Sep 30 14:49:49 2011,CleanupAddon.java,Eric Moffatt
