date_time,file,committer_name
Wed Mar  4  6:30:15 2015,CoolBarToTrimManager.java,Andrey Loskutov
Fri Mar  6 10:22:38 2015,WorkbenchActionBuilder.java,Andrey Loskutov
Fri Mar  6 10:22:38 2015,ContributionItemFactory.java,Andrey Loskutov
Fri Mar  6 10:22:38 2015,CoolBarToTrimManager.java,Andrey Loskutov
Fri Mar  6 10:22:38 2015,WorkbenchMessages.java,Andrey Loskutov
Fri Mar  6 10:22:38 2015,ItemDetailToolTip.java,Andrey Loskutov
Fri Mar  6 10:22:38 2015,UnavailableContributionItemCheckListener.java,Andrey Loskutov
Fri Mar  6 10:22:38 2015,messages.properties,Andrey Loskutov
Sun Mar  8  5:19:52 2015,CategoryComparator.java,Andrey Loskutov
Sun Mar  8  5:19:52 2015,ProblemView.java,Andrey Loskutov
Sun Mar  8  5:19:52 2015,PerformanceProblemsView.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,ActionAddGlobalTask.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,ActionDeleteCompleted.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,ActionMarkCompleted.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,ActionProblemProperties.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,ActionResolveMarker.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,ActionTaskProperties.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,BookmarkFilter.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,BookmarkView.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,DialogBookmarkFilter.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,DialogProblemFilter.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,DialogProblemProperties.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,DialogTaskFilter.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldCreationTime.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldDone.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldDummy.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldFolder.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldId.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldLineNumber.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldMessage.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldPriority.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldResource.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,FieldSeverityAndMessage.java,Andrey Loskutov
Mon Mar  9  0:44:06 2015,TaskView.java,Andrey Loskutov
Mon Mar  9  4:28:55 2015,MarkerViewUtil.java,Andrey Loskutov
Mon Mar  9  4:28:55 2015,ActionCopyMarker.java,Andrey Loskutov
