date_time,file,committer_name
Sun Sep  8 17:59:43 2019,feature.properties,Michael Keppler
Sun Sep  8 17:59:43 2019,feature.properties,Michael Keppler
Sun Sep  8 17:59:43 2019,feature.properties,Michael Keppler
Sun Sep  8 17:59:43 2019,GerritConfigurationPage.java,Michael Keppler
Sun Sep  8 17:59:43 2019,GitHistoryPage.java,Michael Keppler
Sun Sep  8 17:59:43 2019,SWTPlotRenderer.java,Michael Keppler
Tue Sep 17 12:18:09 2019,BranchOperation.java,Michael Keppler
Tue Sep 17 16:56:04 2019,ProjectNameParameterValues.java,Michael Keppler
Tue Sep 17 17:25:52 2019,AbstractBranchSelectionDialog.java,Michael Keppler
Tue Sep 17 19:44:58 2019,BranchOperation.java,Michael Keppler
Sat Sep 21 16:58:17 2019,RuleUtil.java,Michael Keppler
