date_time,file,committer_name
Mon Aug  5 14:42:13 2013,ResourceUtil.java,Laurent Goubet
Thu Aug 22 22:06:59 2013,ResourceUtil.java,Laurent Goubet
Sat Aug 24 13:19:08 2013,GitResourceVariantTreeSubscriber.java,Laurent Goubet
Sat Aug 24 13:19:08 2013,GitSynchronizeDataSet.java,Laurent Goubet
Sat Aug 24 13:19:08 2013,GitContainerMapping.java,Laurent Goubet
Sun Aug 25 15:16:49 2013,GitResourceVariantTree.java,Laurent Goubet
Sun Aug 25 15:16:49 2013,GitSynchronizeData.java,Laurent Goubet
Sun Aug 25 15:16:49 2013,GitSynchronizeDataSet.java,Laurent Goubet
Sun Aug 25 15:16:49 2013,SynchronizeWithMenu.java,Laurent Goubet
Sun Aug 25 15:16:49 2013,SynchronizeWorkspaceActionHandler.java,Laurent Goubet
Sun Aug 25 15:16:49 2013,GitModelSynchronizeParticipant.java,Laurent Goubet
Sun Aug 25 15:16:49 2013,GitSynchronizeWizard.java,Laurent Goubet
