date_time,file,committer_name
Thu May  1 14:39:42 2014,ResourcePropertyTester.java,Matthias Sohn
Fri May  9  9:20:03 2014,CommonUtilsTest.java,Matthias Sohn
Fri May  9  9:20:03 2014,CommonUtils.java,Matthias Sohn
Mon May 12 20:34:26 2014,DecoratableResourceAdapter.java,Matthias Sohn
Tue May 13 22:48:45 2014,SecureStoreUtils.java,Matthias Sohn
Tue May 13 22:48:45 2014,UIText.java,Matthias Sohn
Tue May 13 22:48:45 2014,RepositorySelectionPage.java,Matthias Sohn
Tue May 13 22:48:45 2014,EGitCredentialsProvider.java,Matthias Sohn
Tue May 13 22:48:45 2014,LoginService.java,Matthias Sohn
Tue May 13 22:48:45 2014,uitext.properties,Matthias Sohn
Tue May 27  7:21:57 2014,UIText.java,Matthias Sohn
Tue May 27  7:21:57 2014,RefSpecPage.java,Matthias Sohn
Tue May 27  7:21:57 2014,uitext.properties,Matthias Sohn
