date_time,file,committer_name
Tue Aug 26 13:03:59 2014,RebaseInteractiveStepActionToolBarProvider.java,Vadim Dmitriev
Tue Aug 26 13:13:06 2014,PlanContextMenuAction.java,Vadim Dmitriev
Tue Aug 26 13:13:06 2014,RebaseInteractiveView.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,UIPreferences.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,UIText.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,RebaseInteractiveDropTargetListener.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,RebaseInteractivePlanContentProvider.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,RebaseInteractivePreferences.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,RebaseInteractiveStepActionToolBarProvider.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,RebaseInteractiveView.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,RebasePlanIndexer.java,Vadim Dmitriev
Thu Aug 28 23:08:46 2014,uitext.properties,Vadim Dmitriev
