date_time,file,committer_name
Wed Sep  6 16:45:09 2017,ide_ui_messages.properties,Philip Langer
Wed Sep  6 16:45:09 2017,EMFCompareUIPreferences.java,Philip Langer
Wed Sep  6 16:45:09 2017,EMFCompareUIPreferencesInitializer.java,Philip Langer
Wed Sep  6 16:45:09 2017,EditorPreferencePage.java,Philip Langer
Wed Sep  6 16:45:09 2017,MergeAction.java,Philip Langer
Fri Sep  8  9:17:29 2017,ReferenceChangeMerger.java,Philip Langer
Fri Sep  8  9:17:29 2017,MatchUtil.java,Philip Langer
Thu Sep 28  8:55:52 2017,oxygen-extras-sdk.target,Philip Langer
Thu Sep 28  8:55:52 2017,oxygen-extras-sdk.tpd,Philip Langer
Thu Sep 28  8:55:52 2017,MANIFEST.MF,Philip Langer
Thu Sep 28  8:55:52 2017,MANIFEST.MF,Philip Langer
Thu Sep 28  8:55:52 2017,ProfileMigrationTest.java,Philip Langer
