date_time,file,committer_name
Fri Jan 25 13:53:25 2013,MANIFEST.MF,Axel Richard
Fri Jan 25 13:53:25 2013,plugin.xml,Axel Richard
Fri Jan 25 13:53:25 2013,EMFCompareEditPlugin.java,Axel Richard
Fri Jan 25 13:53:25 2013,IItemStyledLabelProvider.java,Axel Richard
Fri Jan 25 13:53:25 2013,AttributeChangeItemProviderSpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,CompareItemProviderAdapterFactorySpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,ComparisonItemProviderSpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,ConflictItemProviderSpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,MatchItemProviderSpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,MatchResourceItemProviderSpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,ReferenceChangeItemProviderSpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,StyledStringUtil.java,Axel Richard
Fri Jan 25 13:53:25 2013,EMFCompareStructureMergeViewer.java,Axel Richard
Fri Jan 25 13:53:25 2013,EMFCompareStructureMergeViewerLabelProvider.java,Axel Richard
Fri Jan 25 13:53:25 2013,MANIFEST.MF,Axel Richard
Fri Jan 25 13:53:25 2013,plugin.xml,Axel Richard
Fri Jan 25 13:53:25 2013,ForwardingUMLDiffItemProvider.java,Axel Richard
Fri Jan 25 13:53:25 2013,StereotypeApplicationChangeItemProviderSpec.java,Axel Richard
Fri Jan 25 13:53:25 2013,UMLCompareAdapterFactorySpec.java,Axel Richard
Tue Jan 29 10:58:59 2013,MANIFEST.MF,Axel Richard
Tue Jan 29 10:58:59 2013,plugin.xml,Axel Richard
Tue Jan 29 10:58:59 2013,pom.xml,Axel Richard
Tue Jan 29 10:58:59 2013,EMFCompareConstants.java,Axel Richard
Tue Jan 29 10:58:59 2013,EMFCompareIDEUIPlugin.java,Axel Richard
Tue Jan 29 10:58:59 2013,DifferenceGroupProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,KindGroupProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,SaveComparisonModelAction.java,Axel Richard
Tue Jan 29 10:58:59 2013,EMFCompareStructureMergeViewer.java,Axel Richard
Tue Jan 29 10:58:59 2013,EMFCompareStructureMergeViewerContentProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,EMFCompareStructureMergeViewerLabelProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,MANIFEST.MF,Axel Richard
Tue Jan 29 10:58:59 2013,build.properties,Axel Richard
Tue Jan 29 10:58:59 2013,plugin.xml,Axel Richard
Tue Jan 29 10:58:59 2013,pom.xml,Axel Richard
Tue Jan 29 10:58:59 2013,filters.exsd,Axel Richard
Tue Jan 29 10:58:59 2013,groups.exsd,Axel Richard
Tue Jan 29 10:58:59 2013,Activator.java,Axel Richard
Tue Jan 29 10:58:59 2013,EMFCompareRCPUIPlugin.java,Axel Richard
Tue Jan 29 10:58:59 2013,AbstractRegistryEventListener.java,Axel Richard
Tue Jan 29 10:58:59 2013,EObjectAccessor.java,Axel Richard
Tue Jan 29 10:58:59 2013,FilterAction.java,Axel Richard
Tue Jan 29 10:58:59 2013,FilterActionMenu.java,Axel Richard
Tue Jan 29 10:58:59 2013,GroupAction.java,Axel Richard
Tue Jan 29 10:58:59 2013,GroupActionMenu.java,Axel Richard
Tue Jan 29 10:58:59 2013,AddedElementsFilter.java,Axel Richard
Tue Jan 29 10:58:59 2013,ChangedElementsFilter.java,Axel Richard
Tue Jan 29 10:58:59 2013,IDifferenceFilter.java,Axel Richard
Tue Jan 29 10:58:59 2013,IDifferenceFilterSelectionChangeEvent.java,Axel Richard
Tue Jan 29 10:58:59 2013,MatchedResourcesFilter.java,Axel Richard
Tue Jan 29 10:58:59 2013,MovedElementsFilter.java,Axel Richard
Tue Jan 29 10:58:59 2013,RemovedElementsFilter.java,Axel Richard
Tue Jan 29 10:58:59 2013,StructureMergeViewerFilter.java,Axel Richard
Tue Jan 29 10:58:59 2013,DefaultDifferenceGroup.java,Axel Richard
Tue Jan 29 10:58:59 2013,DefaultGroupProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,DifferenceGroup.java,Axel Richard
Tue Jan 29 10:58:59 2013,IDifferenceGroupProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,KindGroupProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,MetamodelGroupProvider.java,Axel Richard
Tue Jan 29 10:58:59 2013,StructureMergeViewerGrouper.java,Axel Richard
Tue Jan 29 10:58:59 2013,ThreeWayComparisonGroupProvider.java,Axel Richard
Tue Jan 29 14:33:39 2013,plugin.xml,Axel Richard
Tue Jan 29 14:33:39 2013,EMFCompareContentMergeViewer.java,Axel Richard
Tue Jan 29 14:33:39 2013,ContentMergeViewerConstants.java,Axel Richard
Tue Jan 29 14:33:39 2013,IDEResourceContentsAccessorImpl.java,Axel Richard
Tue Jan 29 14:33:39 2013,IDEResourceContentsAccessorFactory.java,Axel Richard
Tue Jan 29 14:33:39 2013,TableContentMergeViewer.java,Axel Richard
Tue Jan 29 14:33:39 2013,TableContentMergeViewerContentProvider.java,Axel Richard
Tue Jan 29 14:33:39 2013,MergeViewerInfoViewer.java,Axel Richard
Tue Jan 29 14:33:39 2013,TableMergeViewer.java,Axel Richard
Tue Jan 29 14:33:39 2013,BasicResourceContentsAccessorImpl.java,Axel Richard
Tue Jan 29 14:33:39 2013,BasicStructuralFeatureAccessorImpl.java,Axel Richard
