date_time,file,committer_name
Mon Apr  6 13:20:48 2020,GeoTiffReprojectRasterSourceSpec.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,OverviewStrategy.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,GeoTiffReprojectRasterSourceSpec.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,OverviewStrategySpec.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,RasterSourceRDDSpec.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,log4j.properties,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,log4j.properties,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,OverviewStrategy.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,GeoTrellisRasterSource.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,OverviewStrategy.scala,Grigory Pomadchin
Mon Apr  6 13:20:48 2020,OverviewStrategySpec.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,CHANGELOG.md,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GDALRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,MosaicRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,RasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTiffRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTiffReprojectRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTiffResampleRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,AttributeStore.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTrellisRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTrellisReprojectRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTrellisResampleRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,Implicits.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,MosaicRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,RasterMetadata.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,OverviewStrategy.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTrellisRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTrellisReprojectRasterSource.scala,Grigory Pomadchin
Tue Apr  7 19:01:09 2020,GeoTrellisResampleRasterSource.scala,Grigory Pomadchin
