date_time,file,committer_name
Fri Oct  1 15:07:25 2021,.editorconfig,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,.prettierrc,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,extensions.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,settings.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,base.eslintrc.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,base.tsconfig.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,errors.eslintrc.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,warnings.eslintrc.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,.eslintrc.js,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,tsconfig.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,package.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,.eslintrc.js,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,base-theia-glsp-connector.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-command-handler.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-diagram-configuration.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-diagram-context-key-service.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-diagram-manager.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-diagram-widget.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-layout-commands.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-theia-diagram-server.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,index.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-context-menu-service.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-glsp-connector.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-glsp-selection-forwarder.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-marker-manager.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-client-contribution.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-client-provider.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-frontend-contribution.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-theia-container-module.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,index.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-integration-frontend-module.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-jsonrpc-glsp-client.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-model-source-changed-handler.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-navigate-to-external-target-handler.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-navigate-to-marker-contribution.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-opener-options-navigation-service.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-diagram-language.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-backend-contribution.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,glsp-server-contribution.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,index.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,java-socket-glsp-server.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,theia-integration-backend-module.ts,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,tsconfig.json,Tobias Ortmayr
Fri Oct  1 15:07:25 2021,yarn.lock,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,settings.json,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,workflow-diagram-readonly-view.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,workflow-keybinding-contribution.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,workflow-navigation-context-menu.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,workflow-task-editing-context-menu.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,workflow-frontend-module.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,workflow-glsp-server-contribution.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,package.json,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,glsp-diagram-context-key-service.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,glsp-client-contribution.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,glsp-server-contribution.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,java-socket-glsp-server.ts,Tobias Ortmayr
Wed Oct  6  7:26:17 2021,yarn.lock,Tobias Ortmayr
Thu Oct  7 15:09:39 2021,codeql-analysis.yml,Tobias Ortmayr
Thu Oct  7 15:09:39 2021,.prettierrc,Tobias Ortmayr
