date_time,file,committer_name
Mon Aug 19  9:38:46 2019,RequestResponseResult.java,Jens Reimann
Wed Aug 21  7:02:47 2019,AbstractRegistrationService.java,Jens Reimann
Wed Aug 21  7:02:47 2019,BaseRegistrationService.java,Jens Reimann
Wed Aug 21  7:02:47 2019,BaseRegistrationServiceTest.java,Jens Reimann
Wed Aug 21  7:02:47 2019,DummyRegistrationService.java,Jens Reimann
Wed Aug 21  7:02:47 2019,FileBasedRegistrationService.java,Jens Reimann
Thu Aug 22 12:34:45 2019,OperationResult.java,Jens Reimann
Thu Aug 22 12:34:45 2019,Result.java,Jens Reimann
Fri Aug 23 12:09:37 2019,LoraProtocolAdapter.java,Jens Reimann
Fri Aug 23 12:09:37 2019,ThingsNetworkProvider.java,Jens Reimann
Wed Aug 28 11:03:20 2019,HonoTimestamp.java,Jens Reimann
Wed Aug 28 11:03:20 2019,CommonSecret.java,Jens Reimann
Wed Aug 28 11:03:20 2019,CredentialsTest.java,Jens Reimann
Wed Aug 28 11:03:20 2019,SecretsTest.java,Jens Reimann
Wed Aug 28 11:03:20 2019,FileBasedCredentialsService.java,Jens Reimann
Thu Sep  5  8:26:15 2019,Application.java,Jens Reimann
Fri Sep  6  7:29:21 2019,HonoConnectionImpl.java,Jens Reimann
Fri Sep  6  7:29:21 2019,HonoConnectionImplTest.java,Jens Reimann
Fri Sep  6  7:29:21 2019,HonoClientImplIT.java,Jens Reimann
Fri Sep  6  7:29:21 2019,logback-spring.xml,Jens Reimann
Fri Sep  6  7:29:21 2019,logback-spring.xml,Jens Reimann
Fri Sep  6  7:29:21 2019,logback-spring.xml,Jens Reimann
Fri Sep  6  7:29:21 2019,logback-spring.xml,Jens Reimann
Fri Sep  6  7:29:21 2019,logback-test.xml,Jens Reimann
Fri Sep  6  7:29:21 2019,logback-spring.xml,Jens Reimann
Fri Sep  6  9:23:23 2019,EventBusTenantManagementAdapter.java,Jens Reimann
Fri Sep  6  9:23:23 2019,AutowiredTenantManagementAdapter.java,Jens Reimann
