date_time,file,committer_name
Mon May 15 23:08:44 2023,Cargo.toml,Ash Beitz
Mon May 15 23:08:44 2023,README.md,Ash Beitz
Mon May 15 23:08:44 2023,lib.rs,Ash Beitz
Mon May 15 23:08:44 2023,lib.rs,Ash Beitz
Mon May 15 23:08:44 2023,Cargo.toml,Ash Beitz
Mon May 15 23:08:44 2023,vehicle.json,Ash Beitz
Mon May 15 23:08:44 2023,sdv_v1.rs,Ash Beitz
Mon May 15 23:08:44 2023,.accepted_words.txt,Ash Beitz
Mon May 15 23:08:44 2023,README.md,Ash Beitz
Mon May 15 23:08:44 2023,findbyid_sequence.puml,Ash Beitz
Mon May 15 23:08:44 2023,findbyid_sequence.svg,Ash Beitz
Mon May 15 23:08:44 2023,ibeji_component.puml,Ash Beitz
Mon May 15 23:08:44 2023,ibeji_component.svg,Ash Beitz
Mon May 15 23:08:44 2023,invoke_sequence.puml,Ash Beitz
Mon May 15 23:08:44 2023,invoke_sequence.svg,Ash Beitz
Mon May 15 23:08:44 2023,publish_sequence.puml,Ash Beitz
Mon May 15 23:08:44 2023,publish_sequence.svg,Ash Beitz
Mon May 15 23:08:44 2023,register_sequence.puml,Ash Beitz
Mon May 15 23:08:44 2023,register_sequence.svg,Ash Beitz
Mon May 15 23:08:44 2023,respond_sequence.puml,Ash Beitz
Mon May 15 23:08:44 2023,respond_sequence.svg,Ash Beitz
Mon May 15 23:08:44 2023,subscribe_sequence.puml,Ash Beitz
Mon May 15 23:08:44 2023,subscribe_sequence.svg,Ash Beitz
Mon May 15 23:08:44 2023,command_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,command_payload_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,component_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,dtmi.rs,Ash Beitz
Mon May 15 23:08:44 2023,field_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,interface_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,model_parser.rs,Ash Beitz
Mon May 15 23:08:44 2023,object_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,primitive_schema_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,property_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,relationship_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,telemetry_info_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,remotely_accessible_resource.json,Ash Beitz
Mon May 15 23:08:44 2023,SDV.v2.context.json,Ash Beitz
Mon May 15 23:08:44 2023,digitaltwin_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,main.rs,Ash Beitz
Mon May 15 23:08:44 2023,provider_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,Cargo.toml,Ash Beitz
Mon May 15 23:08:44 2023,build.rs,Ash Beitz
Mon May 15 23:08:44 2023,digital_twin.proto,Ash Beitz
Mon May 15 23:08:44 2023,lib.rs,Ash Beitz
Mon May 15 23:08:44 2023,Cargo.toml,Ash Beitz
Mon May 15 23:08:44 2023,consumer_impl.rs,Ash Beitz
Mon May 15 23:08:44 2023,main.rs,Ash Beitz
Mon May 15 23:08:44 2023,show_notification.json,Ash Beitz
Mon May 15 23:08:44 2023,Cargo.toml,Ash Beitz
