date_time,file,committer_name
Tue Oct 23  0:56:33 2018,.gitmodules,Jay Phelps
Tue Oct 23  0:56:33 2018,.spelling,Jay Phelps
Tue Oct 23  0:56:33 2018,SiteConfig.js,Jay Phelps
Tue Oct 23  0:56:33 2018,gatsby-config.js,Jay Phelps
Tue Oct 23  0:56:33 2018,package.json,Jay Phelps
Tue Oct 23  0:56:33 2018,AboutProject.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,BringYourOwnEdge.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,BringYourOwnEdge.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,Community.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,Edgeworx.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,Enterprise.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,Footer.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,Footer.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,Header.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,Header.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,PostListing.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,RunSoftwareEdge.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,RunSoftwareEdge.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,Subscription.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,Trusted.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,Trusted.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,WhoUsing.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,index.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,index.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,documentation.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,b16-tomorrow-dark.css,Jay Phelps
Tue Oct 23  0:56:33 2018,post.jsx,Jay Phelps
Tue Oct 23  0:56:33 2018,post.scss,Jay Phelps
Tue Oct 23  0:56:33 2018,FogController,Jay Phelps
Tue Oct 23  0:56:33 2018,yarn.lock,Jay Phelps
