date_time,file,committer_name
Mon Jun 12 13:16:57 2023,E2ETestStepDefinitions.java,Jaro Hartmann
Tue Jun 13 15:07:27 2023,DecentralDigitalTwinRegistryService.java,Jaro Hartmann
Tue Jun 13 15:07:27 2023,DiscoveryEndpoint.java,Jaro Hartmann
Tue Jun 13 15:07:27 2023,DiscoveryFinderClient.java,Jaro Hartmann
Tue Jun 13 15:07:27 2023,DiscoveryResponse.java,Jaro Hartmann
Tue Jun 13 15:07:27 2023,DecentralDigitalTwinRegistryServiceTest.java,Jaro Hartmann
Tue Jun 13 15:32:29 2023,EdcControlPlaneClient.java,Jaro Hartmann
Tue Jun 13 16:13:48 2023,EdcControlPlaneClient.java,Jaro Hartmann
Tue Jun 13 16:13:48 2023,EdcSubmodelClient.java,Jaro Hartmann
Tue Jun 13 16:13:48 2023,EdcControlPlaneClientTest.java,Jaro Hartmann
Wed Jun 14  7:43:48 2023,ContractNegotiationService.java,Jaro Hartmann
Wed Jun 14  7:43:48 2023,EdcControlPlaneClient.java,Jaro Hartmann
Wed Jun 14  7:43:48 2023,EdcSubmodelClient.java,Jaro Hartmann
Wed Jun 14  7:43:48 2023,EdcControlPlaneClientTest.java,Jaro Hartmann
Wed Jun 14  8:22:42 2023,SubmodelFacadeWiremockTest.java,Jaro Hartmann
Wed Jun 14  8:22:42 2023,SubmodelRetryerTest.java,Jaro Hartmann
Wed Jun 14  8:24:00 2023,EdcSubmodelClientTest.java,Jaro Hartmann
Wed Jun 14  8:25:47 2023,DecentralDigitalTwinRegistryService.java,Jaro Hartmann
Wed Jun 14  8:25:47 2023,DiscoveryResponse.java,Jaro Hartmann
Wed Jun 14  8:25:47 2023,DecentralDigitalTwinRegistryServiceTest.java,Jaro Hartmann
Wed Jun 14  9:07:00 2023,DiscoveryFinderClientImplTest.java,Jaro Hartmann
Wed Jun 14 11:48:11 2023,DiscoveryResponse.java,Jaro Hartmann
Thu Jun 15 12:42:05 2023,CX_Testdata_v1.4.1-AsBuilt-reduced.json,Jaro Hartmann
Thu Jun 15 12:42:05 2023,README.md,Jaro Hartmann
Thu Jun 15 12:42:05 2023,transform-and-upload.py,Jaro Hartmann
