date_time,file,committer_name
Mon Dec 17 22:32:12 2018,SessionHandler.java,Jan Bartel
Mon Dec 17 22:32:12 2018,TestFooServlet.java,Jan Bartel
Mon Dec 17 22:32:12 2018,AsyncTest.java,Jan Bartel
Wed Dec 19  1:55:54 2018,TestAnnotationConfiguration.java,Jan Bartel
Wed Dec 19  1:55:54 2018,WebInfClassServletContainerInitializer.java,Jan Bartel
Wed Dec 19  1:55:54 2018,javax.servlet.ServletContainerInitializer,Jan Bartel
Thu Dec 27  5:44:53 2018,pom.xml,Jan Bartel
Thu Dec 27  5:44:53 2018,MetaInfConfigurationTest.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootContextAsService.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootHTTP2.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootHTTP2Conscrypt.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootHTTP2JDK9.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootWebAppAsService.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootWithAnnotations.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootWithJavaxWebSocket.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootWithJsp.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestJettyOSGiBootWithWebSocket.java,Jan Bartel
Tue Jan 15  3:38:16 2019,TestOSGiUtil.java,Jan Bartel
