date_time,file,committer_name
Wed Dec  2 15:08:32 2020,main.yml,Brice Ruppen
Wed Dec  2 15:08:32 2020,.gitignore,Brice Ruppen
Wed Dec  2 15:08:32 2020,README.md,Brice Ruppen
Wed Dec  2 15:08:32 2020,_index.md,Brice Ruppen
Wed Dec  2 15:08:32 2020,download-javadoc.sh,Brice Ruppen
Wed Dec  2 15:08:32 2020,get_all_javadocs.sh,Brice Ruppen
Wed Dec  2 15:08:32 2020,get_javadoc.sh,Brice Ruppen
Wed Dec  2 15:08:32 2020,MANIFEST.MF,Brice Ruppen
Wed Dec  2 15:08:32 2020,allclasses-frame.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,allclasses-noframe.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,constant-values.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,deprecated-list.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,help-doc.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,index-all.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,index.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,AndroidNfcFragment.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,AndroidNfcPlugin.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,AndroidNfcPluginFactory.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,AndroidNfcProtocolSettings.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,AndroidNfcReader.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,package-frame.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,package-summary.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,package-tree.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,overview-tree.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,package-list,Brice Ruppen
Wed Dec  2 15:08:32 2020,script.js,Brice Ruppen
Wed Dec  2 15:08:32 2020,stylesheet.css,Brice Ruppen
Wed Dec  2 15:08:32 2020,MANIFEST.MF,Brice Ruppen
Wed Dec  2 15:08:32 2020,allclasses-frame.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,allclasses-noframe.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,constant-values.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,deprecated-list.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,help-doc.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,index-all.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,index.html,Brice Ruppen
Wed Dec  2 15:08:32 2020,AndroidNfcFragment.html,Brice Ruppen
