date_time,file,committer_name
Thu Oct 21 14:59:44 2021,style.css,KatharinaBrinkhaus
Thu Oct 21 14:59:44 2021,index.html,KatharinaBrinkhaus
Thu Oct 21 14:59:44 2021,tailwind.config.js,KatharinaBrinkhaus
Fri Oct 22 13:27:01 2021,clear.svg,KatharinaBrinkhaus
Fri Oct 22 13:27:01 2021,clear_dark.svg,KatharinaBrinkhaus
Fri Oct 22 13:27:01 2021,simple.svg,KatharinaBrinkhaus
Fri Oct 22 13:27:01 2021,simple_dark.svg,KatharinaBrinkhaus
Fri Oct 22 13:27:01 2021,style.css,KatharinaBrinkhaus
Fri Oct 22 13:27:01 2021,index.html,KatharinaBrinkhaus
Fri Oct 22 13:27:01 2021,tailwind.config.js,KatharinaBrinkhaus
