date_time,file,committer_name
Thu Feb 25 10:50:54 2021,package-lock.json,Daniel Dietrich
Thu Feb 25 10:50:54 2021,package.json,Daniel Dietrich
Thu Feb 25 10:50:54 2021,ast-builder.ts,Daniel Dietrich
Thu Feb 25 10:50:54 2021,ast.ts,Daniel Dietrich
Thu Feb 25 10:50:54 2021,index.ts,Daniel Dietrich
Thu Feb 25 10:50:54 2021,xtext-parser.ts,Daniel Dietrich
Thu Feb 25 17:10:40 2021,.gitignore,Daniel Dietrich
Thu Feb 25 17:10:40 2021,jest.config.js,Daniel Dietrich
Thu Feb 25 17:10:40 2021,package-lock.json,Daniel Dietrich
Thu Feb 25 17:10:40 2021,package.json,Daniel Dietrich
Thu Feb 25 17:26:04 2021,package-lock.json,Daniel Dietrich
Thu Feb 25 17:26:04 2021,package.json,Daniel Dietrich
Thu Feb 25 17:26:04 2021,index.ts,Daniel Dietrich
Thu Feb 25 18:33:41 2021,template-string.test.ts,Daniel Dietrich
Thu Feb 25 18:33:41 2021,template-string.ts,Daniel Dietrich
Thu Feb 25 18:33:41 2021,index.ts,Daniel Dietrich
Thu Feb 25 22:15:24 2021,.eslintignore,Daniel Dietrich
Thu Feb 25 22:15:24 2021,.eslintrc.js,Daniel Dietrich
Thu Feb 25 22:15:24 2021,jest.config.js,Daniel Dietrich
Thu Feb 25 22:15:24 2021,package.json,Daniel Dietrich
Thu Feb 25 22:15:24 2021,index.ts,Daniel Dietrich
Thu Feb 25 22:15:24 2021,tsconfig.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,.gitignore,Daniel Dietrich
Sun Feb 28 22:07:56 2021,.eslintrc.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,extensions.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,launch.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,settings.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,tasks.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,.vscodeignore,Daniel Dietrich
Sun Feb 28 22:07:56 2021,package-lock.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,package.json,Daniel Dietrich
Sun Feb 28 22:07:56 2021,extension.ts,Daniel Dietrich
Sun Feb 28 22:07:56 2021,runTest.ts,Daniel Dietrich
Sun Feb 28 22:07:56 2021,extension.test.ts,Daniel Dietrich
Sun Feb 28 22:07:56 2021,index.ts,Daniel Dietrich
Sun Feb 28 22:07:56 2021,tsconfig.json,Daniel Dietrich
