date_time,file,committer_name
Wed Oct 25 17:58:27 2023,action.yaml,OleksandrChaika
Wed Oct 25 17:58:27 2023,Context.h,OleksandrChaika
Wed Oct 25 17:58:27 2023,Defaults.cpp,OleksandrChaika
Wed Oct 25 17:58:27 2023,Defaults.h,OleksandrChaika
Wed Oct 25 17:58:27 2023,Downloading.cpp,OleksandrChaika
Wed Oct 25 17:58:27 2023,Downloading.h,OleksandrChaika
Wed Oct 25 17:58:27 2023,Installing.cpp,OleksandrChaika
Wed Oct 25 17:58:27 2023,Installing.h,OleksandrChaika
Wed Oct 25 17:58:27 2023,main.cpp,OleksandrChaika
Wed Oct 25 17:58:27 2023,TestSelfUpdateScenarios.cpp,OleksandrChaika
