date_time,file,committer_name
Mon May 27 21:32:34 2019,CMDTDDocument.java,Nikolas Komonen
Mon May 27 21:32:34 2019,DTDCompletionExtensionsTest.java,Nikolas Komonen
Mon May 27 21:32:34 2019,catalog.xml,Nikolas Komonen
Mon May 27 21:32:34 2019,svg.dtd,Nikolas Komonen
Mon May 27 23:06:58 2019,XMLSymbolsProvider.java,Nikolas Komonen
Mon May 27 23:06:58 2019,XMLDocumentSymbolsTest.java,Nikolas Komonen
Mon May 27 23:06:58 2019,XMLSymbolInformationsTest.java,Nikolas Komonen
Wed May 29 18:56:57 2019,CMDocument.java,Nikolas Komonen
Wed May 29 18:56:57 2019,ContentModelCompletionParticipant.java,Nikolas Komonen
Wed May 29 18:56:57 2019,CMDTDContentModelProvider.java,Nikolas Komonen
Wed May 29 18:56:57 2019,CMDTDDocument.java,Nikolas Komonen
Wed May 29 18:56:57 2019,CMXSDContentModelProvider.java,Nikolas Komonen
Wed May 29 18:56:57 2019,CMXSDDocument.java,Nikolas Komonen
Wed May 29 18:56:57 2019,XMLAssert.java,Nikolas Komonen
Wed May 29 18:56:57 2019,DTDCompletionExtensionsTest.java,Nikolas Komonen
Wed May 29 18:56:57 2019,XSDCompletionExtensionsTest.java,Nikolas Komonen
Wed May 29 18:56:57 2019,invoice.xsd,Nikolas Komonen
Tue Jun  4 21:45:18 2019,XMLLanguageServer.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,XMLTextDocumentService.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,SharedSettings.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,XMLGeneralClientSettings.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,XMLSymbolSettings.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,ClientCapabilitiesWrapper.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,ServerCapabilitiesInitializer.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,XMLCapabilityManager.java,Nikolas Komonen
Tue Jun  4 21:45:18 2019,SettingsTest.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,ParentProcessWatcher.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,Constants.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,FilePathPlugin.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,FilePathCompletionParticipant.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,ServerCapabilitiesConstants.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,CompletionSortTextHelper.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,FilesUtils.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,OSUtils.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,StringUtils.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,org.eclipse.lsp4xml.services.extensions.IXMLExtension,Nikolas Komonen
Mon Jun 10 22:57:15 2019,XMLAssert.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,FilePathCompletionTest.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,CompletionSortTextHelperTest.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,FilesUtilsTest.java,Nikolas Komonen
Mon Jun 10 22:57:15 2019,StringUtilsTest.java,Nikolas Komonen
Fri Jun 14 15:10:15 2019,XMLTextDocumentService.java,Nikolas Komonen
Fri Jun 14 15:10:15 2019,XMLFileAssociation.java,Nikolas Komonen
Fri Jun 14 15:10:15 2019,PathPatternMatcher.java,Nikolas Komonen
Fri Jun 14 15:10:15 2019,XMLExcludedSymbolFile.java,Nikolas Komonen
Fri Jun 14 15:10:15 2019,XMLSymbolSettings.java,Nikolas Komonen
Fri Jun 14 15:10:15 2019,SettingsTest.java,Nikolas Komonen
Fri Jun 14 15:10:15 2019,XMLSymbolSettingsTest.java,Nikolas Komonen
