date_time,file,committer_name
Tue Oct 27 21:04:04 2020,.editorconfig,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,.gitignore,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,README.md,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,angular.json,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,browserslist,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,protractor.conf.js,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,app.e2e-spec.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,app.po.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,tsconfig.json,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,PreviewFactory.java,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,karma.conf.js,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,jsonschema2pojo,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,jsonschema2pojo.bat,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,package-lock.json,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,package.json,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,app.component.html,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,app.component.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,app.module.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,popup.component.html,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,popup.component.scss,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,popup.component.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,models.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,preview.component.html,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,preview.component.scss,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,preview.component.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,search-header.component.html,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,search-header.component.scss,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,search-header.component.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,search.service.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,selector.component.html,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,selector.component.scss,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,selector.component.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,environment.prod.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,environment.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,index.html,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,main.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,polyfills.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,styles.scss,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,test.ts,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,tsconfig.app.json,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,tsconfig.json,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,tsconfig.spec.json,Andrew Berezovskyi
Tue Oct 27 21:04:04 2020,tslint.json,Andrew Berezovskyi
