date_time,file,committer_name
Tue Dec  7  9:09:39 2010,InsertArtifactProposal.java,Milos Kleint
Tue Dec  7  9:09:39 2010,InsertExpressionProposal.java,Milos Kleint
Tue Dec  7  9:09:39 2010,PomContentAssistProcessor.java,Milos Kleint
Tue Dec  7  9:09:39 2010,PomHyperlinkDetector.java,Milos Kleint
Tue Dec  7  9:09:39 2010,PomQuickAssistProcessor.java,Milos Kleint
Tue Dec  7  9:09:39 2010,PomTemplateContext.java,Milos Kleint
Tue Dec  7  9:09:39 2010,PomTextHover.java,Milos Kleint
Tue Dec  7  9:09:39 2010,POMMarkerAnnotationModel.java,Milos Kleint
Tue Dec  7  9:09:39 2010,POMMarkerAnnotationModelFactory.java,Milos Kleint
Tue Dec  7  9:09:39 2010,XmlUtils.java,Milos Kleint
Tue Dec  7 10:45:09 2010,PomHyperlinkDetector.java,Milos Kleint
Tue Dec  7 10:45:09 2010,PomQuickAssistProcessor.java,Milos Kleint
Tue Dec  7 10:45:09 2010,PomTextHover.java,Milos Kleint
Tue Dec  7 10:45:09 2010,NodeOperation.java,Milos Kleint
Tue Dec  7 10:45:09 2010,XmlUtils.java,Milos Kleint
Tue Dec  7 16:29:23 2010,MavenDependenciesWizardPage.java,Milos Kleint
Tue Dec  7 16:29:23 2010,MavenProjectWizardArtifactPage.java,Milos Kleint
Tue Dec  7 16:29:23 2010,AddPluginAction.java,Milos Kleint
Tue Dec  7 16:29:23 2010,MavenPomEditor.java,Milos Kleint
Tue Dec  7 16:29:23 2010,InsertArtifactProposal.java,Milos Kleint
Tue Dec  7 16:29:23 2010,PomContentAssistProcessor.java,Milos Kleint
Tue Dec  7 16:29:23 2010,XmlUtils.java,Milos Kleint
Tue Dec  7 16:29:23 2010,AddPluginAction.java,Milos Kleint
Tue Dec  7 16:29:23 2010,PluginsComposite.java,Milos Kleint
Wed Dec  8  8:25:38 2010,InsertArtifactProposal.java,Milos Kleint
Wed Dec  8  8:25:38 2010,InsertExpressionProposal.java,Milos Kleint
Wed Dec  8  8:25:38 2010,PomContentAssistProcessor.java,Milos Kleint
Wed Dec  8  8:25:38 2010,PomHyperlinkDetector.java,Milos Kleint
Wed Dec  8  8:25:38 2010,PomTemplateContext.java,Milos Kleint
Wed Dec  8  8:25:38 2010,PomTextHover.java,Milos Kleint
Wed Dec  8  8:25:38 2010,XmlUtils.java,Milos Kleint
Thu Dec  9  5:36:08 2010,plugin.xml,Milos Kleint
Thu Dec  9  5:36:08 2010,InsertArtifactProposal.java,Milos Kleint
Thu Dec  9  5:36:08 2010,PomContentAssistProcessor.java,Milos Kleint
Thu Dec  9  5:36:08 2010,PomTemplateContext.java,Milos Kleint
Thu Dec  9  5:36:08 2010,InsertArtifactProposal.java,Milos Kleint
Thu Dec  9  5:36:08 2010,Messages.java,Milos Kleint
Thu Dec  9  5:36:08 2010,messages.properties,Milos Kleint
Thu Dec  9  5:36:08 2010,MavenPomSelectionComponent.java,Milos Kleint
Thu Dec  9  5:36:08 2010,PomContentAssistProcessor.java,Milos Kleint
Thu Dec  9  5:36:09 2010,AddDependencyAction.java,Milos Kleint
Thu Dec  9  5:36:09 2010,MavenActionSupport.java,Milos Kleint
Thu Dec  9 13:09:01 2010,messages.properties,Milos Kleint
Thu Dec  9 13:09:01 2010,MavenInstallationsPreferencePage.java,Milos Kleint
Mon Dec 20  8:36:55 2010,PomContentOutlineConfiguration.java,Milos Kleint
Mon Dec 20  8:41:13 2010,PomContentOutlineConfiguration.java,Milos Kleint
Mon Dec 20 11:42:03 2010,MavenPomEditor.java,Milos Kleint
Mon Dec 20 13:04:48 2010,OverviewPage.java,Milos Kleint
Mon Dec 20 13:48:52 2010,MavenPomEditorPage.java,Milos Kleint
Tue Dec 21 10:24:15 2010,IMavenProjectCache.java,Milos Kleint
Tue Dec 21 10:24:15 2010,PomHyperlinkDetector.java,Milos Kleint
Tue Dec 21 10:24:15 2010,PomTemplateContext.java,Milos Kleint
Tue Dec 21 10:24:15 2010,XmlUtils.java,Milos Kleint
Tue Dec 21 10:24:15 2010,MavenPomEditor.java,Milos Kleint
Tue Dec 21 13:32:27 2010,XmlUtils.java,Milos Kleint
Tue Dec 21 13:33:59 2010,OpenPomAction.java,Milos Kleint
Tue Dec 21 13:40:01 2010,PomHyperlinkDetector.java,Milos Kleint
Tue Dec 21 14:46:55 2010,MavenPomEditor.java,Milos Kleint
Tue Dec 21 14:46:55 2010,XmlUtils.java,Milos Kleint
Tue Dec 21 14:46:55 2010,PomHyperlinkDetector.java,Milos Kleint
Wed Dec 22  8:18:56 2010,PomHyperlinkDetector.java,Milos Kleint
Wed Dec 22  8:18:56 2010,Messages.java,Milos Kleint
