date_time,file,committer_name
Fri Jan 14 19:47:39 2011,.project,Pascal Rapicault
Fri Jan 14 19:47:39 2011,org.maven.ide.eclipse.prefs,Pascal Rapicault
Fri Jan 14 19:47:39 2011,directory.xml,Pascal Rapicault
Fri Jan 14 19:47:39 2011,.classpath,Pascal Rapicault
Fri Jan 14 19:47:39 2011,.gitignore,Pascal Rapicault
Fri Jan 14 19:47:39 2011,.project,Pascal Rapicault
Fri Jan 14 19:47:39 2011,org.eclipse.jdt.core.prefs,Pascal Rapicault
Fri Jan 14 19:47:39 2011,org.eclipse.m2e.core.prefs,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MANIFEST.MF,Pascal Rapicault
Fri Jan 14 19:47:39 2011,about.html,Pascal Rapicault
Fri Jan 14 19:47:39 2011,build.properties,Pascal Rapicault
Fri Jan 14 19:47:39 2011,plugin.properties,Pascal Rapicault
Fri Jan 14 19:47:39 2011,plugin.xml,Pascal Rapicault
Fri Jan 14 19:47:39 2011,pom.xml,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenDiscovery.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenDiscoveryIcons.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,Messages.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenDiscoveryHandler.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,DiscoveryWizardProposal.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenDiscoveryMarkerResolutionGenerator.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,messages.properties,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenCatalogConfiguration.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenCatalogPage.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenCatalogViewer.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,MavenDiscoveryWizard.java,Pascal Rapicault
Fri Jan 14 19:47:39 2011,pom.xml,Pascal Rapicault
Fri Jan 14 19:52:12 2011,IMavenConstants.java,Pascal Rapicault
Fri Jan 14 19:52:12 2011,LifecycleMappingFactory.java,Pascal Rapicault
Fri Jan 14 19:52:12 2011,ProjectConfigurationManager.java,Pascal Rapicault
Fri Jan 14 22:25:34 2011,ProjectConfigurationManager.java,Pascal Rapicault
Fri Jan 14 22:26:12 2011,MANIFEST.MF,Pascal Rapicault
Fri Jan 14 22:26:12 2011,MavenDiscovery.java,Pascal Rapicault
Fri Jan 14 22:26:12 2011,Messages.java,Pascal Rapicault
Fri Jan 14 22:26:12 2011,MavenDiscoveryHandler.java,Pascal Rapicault
Fri Jan 14 22:26:12 2011,DiscoveryWizardProposal.java,Pascal Rapicault
Fri Jan 14 22:26:12 2011,MavenDiscoveryMarkerResolutionGenerator.java,Pascal Rapicault
Fri Jan 14 22:26:12 2011,messages.properties,Pascal Rapicault
Fri Jan 14 22:26:12 2011,MavenCatalogConfiguration.java,Pascal Rapicault
Fri Jan 14 22:26:12 2011,MavenCatalogViewer.java,Pascal Rapicault
