date_time,file,committer_name
Wed Apr  9 14:28:51 2014,MavenDiscovery.java,Fred Bricon
Fri Apr 25 13:36:23 2014,Messages.java,Fred Bricon
Fri Apr 25 13:36:23 2014,messages.properties,Fred Bricon
Fri Apr 25 13:36:23 2014,MavenPomSelectionComponent.java,Fred Bricon
Fri Apr 25 14:07:34 2014,MavenCheckoutLocationPage.java,Fred Bricon
Fri Apr 25 14:20:10 2014,MavenCheckoutLocationPage.java,Fred Bricon
Fri Apr 25 19:41:02 2014,Messages.java,Fred Bricon
Fri Apr 25 19:41:02 2014,messages.properties,Fred Bricon
Fri Apr 25 19:41:02 2014,MavenProjectWizardArchetypePage.java,Fred Bricon
Mon Apr 28 10:02:09 2014,ClasspathEntryDescriptor.java,Fred Bricon
