date_time,file,committer_name
Thu Mar 19 12:37:22 2020,module-info.java,Lukas Jungmann
Thu Mar 19 12:37:22 2020,CleanUpExecutorFactory.java,Lukas Jungmann
Thu Mar 19 12:37:22 2020,FactoryFinder.java,Lukas Jungmann
Thu Mar 19 12:37:22 2020,WeakDataFile.java,Lukas Jungmann
Thu Mar 19 12:49:56 2020,MemoryData.java,Lukas Jungmann
Thu Mar 19 12:49:56 2020,TempFiles.java,Lukas Jungmann
Fri Mar 20  0:20:41 2020,README.md,Lukas Jungmann
Fri Mar 20  0:20:41 2020,module-info.java,Lukas Jungmann
Fri Mar 20 12:53:50 2020,module-info.java,Lukas Jungmann
Fri Mar 20 12:53:50 2020,MIMEMessage.java,Lukas Jungmann
Fri Mar 20 12:53:50 2020,MemoryData.java,Lukas Jungmann
Fri Mar 20 12:53:50 2020,WeakDataFile.java,Lukas Jungmann
Fri Mar 20 12:53:50 2020,FileTest.java,Lukas Jungmann
Fri Mar 20 13:13:29 2020,WeakDataFile.java,Lukas Jungmann
