date_time,file,committer_name
Fri Apr  3 15:35:36 2020,GrandParentType.java,Yannick Bröker
Fri Apr  3 15:35:36 2020,ParentType.java,Yannick Bröker
Fri Apr  3 15:35:36 2020,ScalarTestApi.java,Yannick Bröker
Fri Apr  3 15:35:36 2020,SourceType.java,Yannick Bröker
Fri Apr  3 15:35:36 2020,SubType.java,Yannick Bröker
Fri Apr  3 15:35:36 2020,SubTypeTestApi.java,Yannick Bröker
Fri Apr  3 15:35:36 2020,subtypeTests.csv,Yannick Bröker
Fri Apr  3 20:49:26 2020,SourceType.java,Yannick Bröker
Fri Apr  3 21:22:38 2020,GrandParentType.java,Yannick Bröker
Fri Apr  3 21:22:38 2020,ParentType.java,Yannick Bröker
Fri Apr  3 21:22:38 2020,subtypeTests.csv,Yannick Bröker
Fri Apr  3 21:25:45 2020,ParentType.java,Yannick Bröker
Fri Apr  3 21:25:45 2020,subtypeTests.csv,Yannick Bröker
Fri Apr  3 21:26:36 2020,ParentType.java,Yannick Bröker
Sat Apr  4  8:05:05 2020,ScalarTestApi.java,Yannick Bröker
Sat Apr  4  8:05:05 2020,Widget.java,Yannick Bröker
Sat Apr  4  8:05:05 2020,nameTests.csv,Yannick Bröker
Sat Apr  4 17:12:31 2020,SourceTestApi.java,Yannick Bröker
Sat Apr  4 17:12:31 2020,SourceType.java,Yannick Bröker
Sat Apr  4 17:12:31 2020,input.graphql,Yannick Bröker
Sat Apr  4 17:12:31 2020,output.json,Yannick Bröker
Sat Apr  4 17:12:31 2020,input.graphql,Yannick Bröker
Sat Apr  4 17:12:31 2020,output.json,Yannick Bröker
Sat Apr  4 17:12:31 2020,input.graphql,Yannick Bröker
Sat Apr  4 17:12:31 2020,output.json,Yannick Bröker
Sat Apr  4 17:12:31 2020,input.graphql,Yannick Bröker
Sat Apr  4 17:12:31 2020,output.json,Yannick Bröker
Sat Apr  4 17:12:31 2020,input.graphql,Yannick Bröker
Sat Apr  4 17:12:31 2020,output.json,Yannick Bröker
Sat Apr  4 17:44:46 2020,ReferencedType.java,Yannick Bröker
Sat Apr  4 17:44:46 2020,ReferencedTypeTestApi.java,Yannick Bröker
Sat Apr  4 17:44:46 2020,ReferencingType.java,Yannick Bröker
Sat Apr  4 17:44:46 2020,referencedTypeTests.csv,Yannick Bröker
Mon Apr  6 16:08:02 2020,Id.java,Yannick Bröker
Mon Apr  6 16:08:07 2020,Id.java,Yannick Bröker
Wed Apr  8 10:04:16 2020,SourceTestApi.java,Yannick Bröker
Wed Apr  8 10:04:16 2020,sourceSchemaTests.csv,Yannick Bröker
Wed Apr  8 10:04:16 2020,input.graphql,Yannick Bröker
Wed Apr  8 10:04:16 2020,output.json,Yannick Bröker
Wed Apr  8 10:05:45 2020,SourceTestApi.java,Yannick Bröker
Wed Apr  8 10:05:45 2020,sourceSchemaTests.csv,Yannick Bröker
Tue Apr 14 15:24:38 2020,Person.java,Yannick Bröker
Tue Apr 14 15:24:38 2020,ScalarTestApi.java,Yannick Bröker
Tue Apr 14 15:24:38 2020,Widget.java,Yannick Bröker
Tue Apr 14 15:24:38 2020,nameTests.csv,Yannick Bröker
Tue Apr 14 15:29:24 2020,JsonbPerson.java,Yannick Bröker
Tue Apr 14 15:29:24 2020,ScalarTestApi.java,Yannick Bröker
Tue Apr 14 15:29:24 2020,nameTests.csv,Yannick Bröker
Tue Apr 14 15:30:33 2020,JsonbPerson.java,Yannick Bröker
Tue Apr 14 15:30:33 2020,Person.java,Yannick Bröker
