date_time,file,committer_name
Thu Aug 24  1:17:11 2017,Claim.java,Scott Stark
Thu Aug 24  2:17:20 2017,pom.xml,Scott Stark
Thu Aug 24  2:17:20 2017,pom.xml,Scott Stark
Thu Aug 24  2:17:20 2017,running_the_tck.asciidoc,Scott Stark
Thu Aug 24  2:17:20 2017,TCKConstants.java,Scott Stark
Thu Aug 24  2:17:20 2017,EjbEndpoint.java,Scott Stark
Thu Aug 24  2:17:20 2017,EjbTest.java,Scott Stark
Thu Aug 24  2:17:20 2017,IService.java,Scott Stark
Thu Aug 24  2:17:20 2017,ServiceEJB.java,Scott Stark
Thu Aug 24  2:17:20 2017,SubjectEndpoint.java,Scott Stark
Thu Aug 24  2:17:20 2017,SubjectTest.java,Scott Stark
Thu Aug 24  2:17:20 2017,PingTest.java,Scott Stark
Thu Aug 24  2:17:20 2017,RolesAllowedTest.java,Scott Stark
Thu Aug 24  2:17:20 2017,RolesEndpoint.java,Scott Stark
Thu Aug 24  2:17:20 2017,ServiceServlet.java,Scott Stark
Thu Aug 24  2:17:20 2017,ServletTest.java,Scott Stark
Thu Aug 24  2:17:20 2017,TokenValidationTest.java,Scott Stark
Thu Aug 24  2:17:20 2017,TokenUtilsTest.java,Scott Stark
Thu Aug 24  2:17:20 2017,tck-base-suite.xml,Scott Stark
Thu Aug 24  2:17:20 2017,tck-full-suite.xml,Scott Stark
Thu Aug 24  2:17:20 2017,tck-null-suite.xml,Scott Stark
Thu Aug 24 18:17:32 2017,RolesEndpoint.java,Scott Stark
Fri Aug 25 18:19:45 2017,LoginConfig.java,Scott Stark
Fri Aug 25 18:19:45 2017,TCKApplication.java,Scott Stark
Fri Aug 25 19:00:05 2017,InvalidTokenTest.java,Scott Stark
Fri Aug 25 19:03:45 2017,InvalidTokenTest.java,Scott Stark
Fri Aug 25 19:03:45 2017,RolesAllowedTest.java,Scott Stark
Sat Aug 26  5:56:47 2017,TestTokenClaimTypesTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,pom.xml,Scott Stark
Sat Aug 26  7:46:36 2017,pom.xml,Scott Stark
Sat Aug 26  7:46:36 2017,TokenUtils.java,Scott Stark
Sat Aug 26  7:46:36 2017,TCKConstants.java,Scott Stark
Sat Aug 26  7:46:36 2017,ClaimValueInjectionEndpoint.java,Scott Stark
Sat Aug 26  7:46:36 2017,ClaimValueInjectionTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,InvalidTokenTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,JsonValueInjectionTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,ProviderInjectionTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,RolesAllowedTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,RolesEndpoint.java,Scott Stark
Sat Aug 26  7:46:36 2017,TCKApplication.java,Scott Stark
Sat Aug 26  7:46:36 2017,UnsecureTCKApplication.java,Scott Stark
Sat Aug 26  7:46:36 2017,UnsecuredPingEndpoint.java,Scott Stark
Sat Aug 26  7:46:36 2017,UnsecuredPingTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,DebugTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,TokenValidationTest.java,Scott Stark
Sat Aug 26  7:46:36 2017,RolesEndpoint.json,Scott Stark
Sat Aug 26  7:46:36 2017,usePreferredName.json,Scott Stark
Sat Aug 26  7:46:36 2017,useSubject.json,Scott Stark
Sat Aug 26  7:46:36 2017,tck-base-suite.xml,Scott Stark
Sat Aug 26  9:23:39 2017,ClaimValueInjectionTest.java,Scott Stark
Sat Aug 26 22:40:17 2017,TestTokenClaimTypesTest.java,Scott Stark
Sat Aug 26 23:46:19 2017,RolesAllowedTest.java,Scott Stark
Sat Aug 26 23:46:19 2017,RolesEndpoint.java,Scott Stark
Sat Aug 26 23:47:22 2017,RolesAllowedTest.java,Scott Stark
Sun Aug 27  0:27:25 2017,ClaimValueInjectionEndpoint.java,Scott Stark
Mon Aug 28  5:07:15 2017,TCKConstants.java,Scott Stark
Mon Aug 28  5:07:15 2017,ClaimValueInjectionEndpoint.java,Scott Stark
Mon Aug 28  5:07:15 2017,JsonValueInjectionTest.java,Scott Stark
Mon Aug 28  5:07:15 2017,JsonValuejectionEndpoint.java,Scott Stark
Mon Aug 28  5:07:15 2017,ProviderInjectionEndpoint.java,Scott Stark
Mon Aug 28  5:07:15 2017,ProviderInjectionTest.java,Scott Stark
Mon Aug 28  5:07:15 2017,tck-base-suite.xml,Scott Stark
Tue Aug 29  1:09:03 2017,JsonValuejectionEndpoint.java,Scott Stark
Tue Aug 29  2:20:29 2017,ClaimValueInjectionTest.java,Scott Stark
Tue Aug 29  2:20:29 2017,InvalidTokenTest.java,Scott Stark
Tue Aug 29  2:20:29 2017,JsonValueInjectionTest.java,Scott Stark
Tue Aug 29  2:20:29 2017,ProviderInjectionTest.java,Scott Stark
Tue Aug 29  2:39:53 2017,JsonValueInjectionTest.java,Scott Stark
Tue Aug 29  2:39:53 2017,JsonValuejectionEndpoint.java,Scott Stark
Tue Aug 29  3:25:17 2017,ClaimValueInjectionTest.java,Scott Stark
Tue Aug 29  3:25:43 2017,EjbTest.java,Scott Stark
Wed Aug 30  8:06:46 2017,RolesAllowedTest.java,Scott Stark
Wed Aug 30  8:09:51 2017,JsonValueInjectionTest.java,Scott Stark
Wed Aug 30  8:09:51 2017,JsonValuejectionEndpoint.java,Scott Stark
Wed Aug 30  8:16:09 2017,EjbTest.java,Scott Stark
Wed Aug 30  8:16:09 2017,SubjectTest.java,Scott Stark
Wed Aug 30  8:16:09 2017,ClaimValueInjectionTest.java,Scott Stark
Wed Aug 30  8:16:09 2017,InvalidTokenTest.java,Scott Stark
Wed Aug 30  8:16:09 2017,ServletTest.java,Scott Stark
Wed Aug 30  8:16:09 2017,TestTokenClaimTypesTest.java,Scott Stark
Wed Aug 30  8:16:09 2017,TokenUtilsTest.java,Scott Stark
Wed Aug 30  8:17:43 2017,RolesEndpoint.java,Scott Stark
Wed Aug 30  8:20:02 2017,ProviderInjectionTest.java,Scott Stark
Fri Sep  1  3:26:28 2017,package-info.java,Scott Stark
Fri Sep  1  3:26:28 2017,package-info.java,Scott Stark
Fri Sep  1 21:19:02 2017,JsonValueInjectionTest.java,Scott Stark
Fri Sep  1 21:19:02 2017,JsonValuejectionEndpoint.java,Scott Stark
Fri Sep  1 21:19:02 2017,RolesAllowedTest.java,Scott Stark
Fri Sep  1 21:19:02 2017,UnsecuredPingTest.java,Scott Stark
Fri Sep  1 22:07:24 2017,JsonValuejectionEndpoint.java,Scott Stark
Sat Sep  2 23:00:32 2017,Claims.java,Scott Stark
Sun Sep  3  0:46:54 2017,ClaimValueInjectionTest.java,Scott Stark
Sun Sep  3  0:46:54 2017,InvalidTokenTest.java,Scott Stark
Sun Sep  3  0:46:54 2017,JsonValueInjectionTest.java,Scott Stark
Sun Sep  3  0:46:54 2017,ProviderInjectionTest.java,Scott Stark
Sun Sep  3  0:46:54 2017,RolesAllowedTest.java,Scott Stark
Sun Sep  3  0:46:54 2017,UnsecuredPingTest.java,Scott Stark
Sun Sep  3  0:46:54 2017,beans.xml,Scott Stark
Sun Sep  3  1:07:41 2017,ClaimValueInjectionEndpoint.java,Scott Stark
Sun Sep  3  1:07:41 2017,ProviderInjectionEndpoint.java,Scott Stark
Sun Sep  3 21:00:17 2017,ClaimValueInjectionTest.java,Scott Stark
Sun Sep  3 21:00:17 2017,JsonValueInjectionTest.java,Scott Stark
Sun Sep  3 21:00:17 2017,ProviderInjectionTest.java,Scott Stark
Sun Sep  3 22:57:45 2017,EjbEndpoint.java,Scott Stark
Sun Sep  3 22:57:45 2017,SubjectEndpoint.java,Scott Stark
Sun Sep  3 22:57:45 2017,ClaimValueInjectionEndpoint.java,Scott Stark
Sun Sep  3 22:57:45 2017,JsonValuejectionEndpoint.java,Scott Stark
Sun Sep  3 22:57:45 2017,ProviderInjectionEndpoint.java,Scott Stark
Sun Sep  3 22:57:45 2017,RolesEndpoint.java,Scott Stark
Sun Sep  3 22:57:45 2017,UnsecuredPingEndpoint.java,Scott Stark
Tue Sep  5  2:30:22 2017,TestTokenClaimTypesTest.java,Scott Stark
Tue Sep  5  2:30:22 2017,TokenValidationTest.java,Scott Stark
Tue Sep  5  3:02:29 2017,AppScopedEndpoint.java,Scott Stark
Tue Sep  5  3:02:29 2017,AppScopedTest.java,Scott Stark
Tue Sep  5  3:07:24 2017,AppScopedTest.java,Scott Stark
Thu Sep  7  1:16:16 2017,interoperability.asciidoc,Scott Stark
Thu Sep  7  1:16:16 2017,microprofile-jwt-auth-spec.asciidoc,Scott Stark
Thu Sep  7  1:16:16 2017,ProviderInjectionEndpoint.java,Scott Stark
Thu Sep  7  1:16:16 2017,ProviderInjectionTest.java,Scott Stark
Thu Sep  7  3:46:59 2017,ProviderInjectionEndpoint.java,Scott Stark
Thu Sep  7  3:57:34 2017,TCKConstants.java,Scott Stark
Thu Sep  7  3:57:34 2017,RolesAllowedTest.java,Scott Stark
Thu Sep  7  3:57:34 2017,tck-full-suite.xml,Scott Stark
Thu Sep  7 18:52:09 2017,RolesEndpoint.java,Scott Stark
Fri Sep  8  5:34:20 2017,ProviderInjectionEndpoint.java,Scott Stark
Sat Sep  9  0:16:41 2017,RolesAllowedTest.java,Scott Stark
Sat Sep  9  0:19:31 2017,UnsecuredPingTest.java,Scott Stark
Thu Sep 14 20:33:35 2017,RequiredClaimsEndpoint.java,Scott Stark
Thu Sep 14 20:33:35 2017,RequiredClaimsTest.java,Scott Stark
Thu Sep 14 20:33:35 2017,RequiredClaims.json,Scott Stark
Fri Sep 15  0:18:46 2017,ClaimValueInjectionEndpoint.java,Scott Stark
Fri Sep 15  0:18:46 2017,ClaimValueInjectionTest.java,Scott Stark
