date_time,file,committer_name
Mon Nov 13 13:40:26 2006,contributors.php,hbrunelie
Mon Nov 13 13:40:26 2006,relatedProjects.php,hbrunelie
Mon Nov 13 15:20:57 2006,relatedProjects.php,hbrunelie
Mon Nov 13 15:43:14 2006,modiscoNewsArchive.rss,hbrunelie
Mon Nov 13 15:43:14 2006,relatedProjects.php,hbrunelie
Wed Nov 15 17:33:36 2006,relatedProjects.php,hbrunelie
Thu Nov 16 11:20:54 2006,relatedProjects.php,hbrunelie
Fri Nov 17 15:57:37 2006,index.php,hbrunelie
Mon Nov 20  9:18:29 2006,contributors.php,hbrunelie
Mon Nov 20 17:39:04 2006,contributors.php,hbrunelie
Mon Nov 20 17:39:04 2006,index.php,hbrunelie
Mon Nov 20 17:39:04 2006,relatedProjects.php,hbrunelie
Mon Nov 20 17:39:04 2006,roadmap.php,hbrunelie
Wed Nov 22 17:40:33 2006,contributors.php,hbrunelie
