date_time,file,committer_name
Fri Aug  5 19:04:23 2022,mraa_adv_func.h,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,mraa_internal_types.h,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,aio.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,gpio.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,i2c.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,pwm.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,spi.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,uart.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,uart.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,uart.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,types.h,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,types.hpp,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,iot2050.h,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,platform.h,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,platform_iot2050.h,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,CMakeLists.txt,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,arm.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,iot2050.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,platform.c,Ivan Mikhaylov
Fri Aug  5 19:04:23 2022,platform_iot2050.c,Ivan Mikhaylov
