date_time,file,committer_name
Tue May  9 13:03:00 2023,DOC.md,Jan Bicker
Tue May  9 13:03:00 2023,project-commands.ts,Jan Bicker
Tue May  9 13:03:00 2023,oniro-toolbar-commands.ts,Jan Bicker
Wed May 10  6:00:24 2023,heart.svg,Jan Bicker
Wed May 10  6:00:24 2023,oniro-ide-frontend-module.ts,Jan Bicker
Wed May 10  6:00:24 2023,icons.css,Jan Bicker
Wed May 10  6:00:24 2023,index.css,Jan Bicker
Wed May 10  6:00:24 2023,oniro-toolbar-commands.ts,Jan Bicker
Fri May 26 11:59:10 2023,index.css,Jan Bicker
Fri May 26 11:59:10 2023,oniro-toolbar-side-contribution.tsx,Jan Bicker
Fri May 26 11:59:10 2023,oniro-application-shell-toolbar-override.ts,Jan Bicker
Fri May 26 11:59:10 2023,oniro-sidepanel-handler.ts,Jan Bicker
Fri May 26 11:59:10 2023,oniro-toolbar-defaults.ts,Jan Bicker
Fri May 26 11:59:10 2023,oniro-toolbar-frontend-module.ts,Jan Bicker
Fri May 26 11:59:10 2023,oniro-toolbar-interfaces.ts,Jan Bicker
Fri May 26 11:59:10 2023,oniro-toolbar-preference-contribution.ts,Jan Bicker
Fri May 26 11:59:10 2023,oniro-vertical-toolbar-controller.ts,Jan Bicker
Fri May 26 11:59:10 2023,oniro-vertical-toolbar.tsx,Jan Bicker
