date_time,file,committer_name
Tue Sep  5 13:43:59 2017,feature.xml,Olivier Constant
Tue Sep  5 13:43:59 2017,.classpath,Olivier Constant
Tue Sep  5 13:43:59 2017,org.eclipse.jdt.core.prefs,Olivier Constant
Tue Sep  5 13:43:59 2017,MANIFEST.MF,Olivier Constant
Tue Sep  5 13:43:59 2017,.classpath,Olivier Constant
Tue Sep  5 13:43:59 2017,org.eclipse.jdt.core.prefs,Olivier Constant
Tue Sep  5 13:43:59 2017,MANIFEST.MF,Olivier Constant
Tue Sep  5 13:43:59 2017,.classpath,Olivier Constant
Tue Sep  5 13:43:59 2017,org.eclipse.jdt.core.prefs,Olivier Constant
Tue Sep  5 13:43:59 2017,MANIFEST.MF,Olivier Constant
Tue Sep  5 13:43:59 2017,.classpath,Olivier Constant
Tue Sep  5 13:43:59 2017,org.eclipse.jdt.core.prefs,Olivier Constant
Tue Sep  5 13:43:59 2017,MANIFEST.MF,Olivier Constant
Tue Sep  5 13:43:59 2017,GMFMatchPolicy.java,Olivier Constant
Tue Sep  5 13:43:59 2017,.classpath,Olivier Constant
Tue Sep  5 13:43:59 2017,org.eclipse.jdt.core.prefs,Olivier Constant
Tue Sep  5 13:43:59 2017,MANIFEST.MF,Olivier Constant
Tue Sep  5 13:43:59 2017,SiriusMatchPolicy.java,Olivier Constant
Tue Sep  5 13:43:59 2017,.classpath,Olivier Constant
Tue Sep  5 13:43:59 2017,.project,Olivier Constant
Tue Sep  5 13:43:59 2017,org.eclipse.jdt.core.prefs,Olivier Constant
Tue Sep  5 13:43:59 2017,org.eclipse.jdt.ui.prefs,Olivier Constant
Tue Sep  5 13:43:59 2017,MANIFEST.MF,Olivier Constant
Tue Sep  5 13:43:59 2017,about.html,Olivier Constant
Tue Sep  5 13:43:59 2017,build.properties,Olivier Constant
Tue Sep  5 13:43:59 2017,plugin.properties,Olivier Constant
Tue Sep  5 13:43:59 2017,IEqualityBasedStructure.java,Olivier Constant
Tue Sep  5 13:43:59 2017,IEqualityTester.java,Olivier Constant
Tue Sep  5 13:43:59 2017,IProperty.java,Olivier Constant
Tue Sep  5 13:43:59 2017,IPropertyValue.java,Olivier Constant
Tue Sep  5 13:43:59 2017,IStructureWithProperties.java,Olivier Constant
Tue Sep  5 13:43:59 2017,PropertyValue.java,Olivier Constant
Tue Sep  5 13:43:59 2017,Relations.java,Olivier Constant
Tue Sep  5 13:43:59 2017,Structures.java,Olivier Constant
Tue Sep  5 13:43:59 2017,AbstractBinaryRelation.java,Olivier Constant
Tue Sep  5 13:43:59 2017,HashBinaryRelation.java,Olivier Constant
