date_time,file,committer_name
Thu Oct 13 16:31:21 2011,.project,Eike Stepper
Thu Oct 13 16:31:21 2011,org.eclipse.ltk.core.refactoring.prefs,Eike Stepper
Thu Oct 13 16:31:21 2011,org.eclipse.mylyn.tasks.ui.prefs,Eike Stepper
Thu Oct 13 16:31:21 2011,org.eclipse.mylyn.team.ui.prefs,Eike Stepper
Thu Oct 13 16:31:21 2011,build.properties,Eike Stepper
Thu Oct 13 16:31:21 2011,feature.properties,Eike Stepper
Thu Oct 13 16:31:21 2011,feature.xml,Eike Stepper
Thu Oct 13 16:31:21 2011,.project,Eike Stepper
Thu Oct 13 16:31:21 2011,org.eclipse.ltk.core.refactoring.prefs,Eike Stepper
Thu Oct 13 16:31:21 2011,org.eclipse.mylyn.tasks.ui.prefs,Eike Stepper
Thu Oct 13 16:31:21 2011,org.eclipse.mylyn.team.ui.prefs,Eike Stepper
Thu Oct 13 16:31:21 2011,build.properties,Eike Stepper
Thu Oct 13 16:31:21 2011,feature.properties,Eike Stepper
Thu Oct 13 16:31:21 2011,feature.xml,Eike Stepper
Thu Oct 13 16:31:21 2011,.project,Eike Stepper
Thu Oct 13 16:31:21 2011,about.html,Eike Stepper
Thu Oct 13 16:31:21 2011,build.properties,Eike Stepper
Thu Oct 13 16:31:21 2011,copyright.txt,Eike Stepper
Thu Oct 13 16:31:21 2011,epl-v10.html,Eike Stepper
Thu Oct 13 16:31:21 2011,feature.properties,Eike Stepper
Thu Oct 13 16:31:21 2011,feature.xml,Eike Stepper
Thu Oct 13 16:31:21 2011,license.html,Eike Stepper
Thu Oct 13 16:31:21 2011,about.html,Eike Stepper
Thu Oct 13 16:31:21 2011,epl-v10.html,Eike Stepper
Thu Oct 13 16:31:21 2011,notice.html,Eike Stepper
Thu Oct 13 16:31:21 2011,.classpath,Eike Stepper
Thu Oct 13 16:31:21 2011,.project,Eike Stepper
Thu Oct 13 16:31:21 2011,org.eclipse.core.resources.prefs,Eike Stepper
