date_time,file,committer_name
Fri Oct 28  9:18:33 2016,IgnoreDatatypeFilter.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,OperationRecorder.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,plugin.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,ignoreDatatype.exsd,Edgar Mueller
Fri Oct 28  9:18:33 2016,materializedModelElementIdGenerator.exsd,Edgar Mueller
Fri Oct 28  9:18:33 2016,singletonIdResolver.exsd,Edgar Mueller
Fri Oct 28  9:18:33 2016,ESMaterializedModelElementIdGenerator.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,IdEObjectCollectionImpl.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,EObjectChangeNotifier.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,ModelUtil.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,.checkstyle,Edgar Mueller
Fri Oct 28  9:18:33 2016,.classpath,Edgar Mueller
Fri Oct 28  9:18:33 2016,.project,Edgar Mueller
Fri Oct 28  9:18:33 2016,.api_filters,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.core.resources.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.core.runtime.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.jdt.core.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.jdt.launching.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.jdt.ui.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.ltk.core.refactoring.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.pde.api.tools.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.pde.ds.annotations.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.pde.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,MANIFEST.MF,Edgar Mueller
Fri Oct 28  9:18:33 2016,about.html,Edgar Mueller
Fri Oct 28  9:18:33 2016,about.ini,Edgar Mueller
Fri Oct 28  9:18:33 2016,about.mappings,Edgar Mueller
Fri Oct 28  9:18:33 2016,about.properties,Edgar Mueller
Fri Oct 28  9:18:33 2016,build.properties,Edgar Mueller
Fri Oct 28  9:18:33 2016,plugin.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,pom.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,Activator.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,ECoreElementsResolver.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,EGenericTypeModelElementIdGenerator.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,CreateDeleteOperationImpl.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,SingleReferenceOperationImpl.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,EObjectDeserializer.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,EObjectSerializer.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,ResourceHelper.java,Edgar Mueller
Fri Oct 28  9:18:33 2016,.checkstyle,Edgar Mueller
Fri Oct 28  9:18:33 2016,.project,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.core.resources.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.core.runtime.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,build.properties,Edgar Mueller
Fri Oct 28  9:18:33 2016,feature.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,pom.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,feature.properties,Edgar Mueller
Fri Oct 28  9:18:33 2016,feature.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,feature.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,category.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,pom.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,pom.xml,Edgar Mueller
Fri Oct 28  9:18:33 2016,.checkstyle,Edgar Mueller
Fri Oct 28  9:18:33 2016,.classpath,Edgar Mueller
Fri Oct 28  9:18:33 2016,.project,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.core.resources.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.core.runtime.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.jdt.core.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.jdt.launching.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.jdt.ui.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.ltk.core.refactoring.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.pde.api.tools.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.pde.core.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.pde.ds.annotations.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.pde.prefs,Edgar Mueller
Fri Oct 28  9:18:33 2016,org.eclipse.wst.validation.prefs,Edgar Mueller
