date_time,file,committer_name
Mon Jul 21 16:49:45 2008,BugzillaTaskDataHandler.java,relves
Fri Aug  1  5:14:44 2008,BugzillaClient.java,relves
Tue Aug  5 21:21:38 2008,TaskActivityTimingTest.java,relves
Tue Aug  5 21:31:47 2008,AllBugzillaTests.java,relves
Tue Aug  5 21:31:47 2008,BugzillaConfigurationTest.java,relves
Tue Aug  5 21:31:47 2008,BugzillaProductParserTest.java,relves
Tue Aug  5 21:31:47 2008,BugzillaRepositoryConnectorTest2.java,relves
Tue Aug  5 21:31:47 2008,BugzillaSearchEngineTest.java,relves
Tue Aug  5 21:31:47 2008,RepositoryReportFactoryTest.java,relves
Wed Aug  6 18:07:18 2008,TaskScheduleContentProvider.java,relves
Thu Aug  7 21:47:26 2008,BugzillaTaskListManagerTest.java,relves
Fri Aug  8  1:57:56 2008,TaskWorkingSetFilter.java,relves
Fri Aug  8 21:32:34 2008,BugzillaClient.java,relves
Fri Aug  8 21:54:35 2008,BugzillaClient.java,relves
Fri Aug  8 21:54:35 2008,MultiBugReportFactory.java,relves
Fri Aug  8 22:06:47 2008,TaskCompletionFilter.java,relves
Fri Aug  8 22:28:33 2008,TaskListInterestFilter.java,relves
Fri Aug  8 22:29:28 2008,TaskListInterestFilter.java,relves
Fri Aug  8 22:29:47 2008,TaskListInterestFilter.java,relves
Fri Aug  8 23:24:54 2008,BugzillaClient.java,relves
Mon Aug 11 20:51:26 2008,TaskActivityMonitor.java,relves
Tue Aug 12 20:11:13 2008,DateRange.java,relves
Wed Aug 13  6:01:46 2008,BugzillaClient.java,relves
Wed Aug 13  6:01:46 2008,BugzillaClientFactory.java,relves
Wed Aug 13  6:01:46 2008,BugzillaRepositoryConnector.java,relves
Wed Aug 13 22:22:24 2008,EncodingTest.java,relves
Wed Aug 13 22:22:24 2008,TaskEditorTest.java,relves
Thu Aug 14  0:26:14 2008,BugzillaTaskEditorPage.java,relves
Thu Aug 14  0:29:33 2008,BugzillaTaskEditorPage.java,relves
Thu Aug 14 19:54:22 2008,DateAttributeEditor.java,relves
