date_time,file,committer_name
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,HtmlStreamTokenizer.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,WebUtil.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,CommonTestUtil.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,E4ThemeColor.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,IssueTaskEditorPage.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritUtil.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritHtmlProcessor.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritRestClient.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritUserRemoteFactory.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritConnectorTest.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritHarness.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritProject.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritReviewRemoteFactoryJUnit3Test.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,ReviewHarness.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,GerritUrlHandler.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GitFileRevisionUtils.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,AbstractDataLocator.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,AbstractRemoteEditFactoryProviderTest.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,CommentPopupDialogTest.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,InlineCommentEditor.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,InlineCommentSubmitter.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,AbstractCommentPart.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GenericTreeContentProvider.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,GlobalCommentsNode.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,RetrievingContentsNode.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,ReviewsLabelProvider.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,ReviewDetailSection.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,AbstractUiFactory.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,BugzillaRestClient.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,BugzillaRestFlagMapper.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,RepositoryConfiguration.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,GitlabTaskEditorSummaryPart.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,TaskDataFileManagerTest.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,TaskDataStoreTest.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,TaskTrimWidget.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,CopyTaskDetailsAction.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,DoubleAttributeEditor.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,IntegerAttributeEditor.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,LongAttributeEditor.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,TaskListToolTip.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,AbstractAttributeEditor.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,MANIFEST.MF,Александър Куртаков
Sat Nov 25 11:25:20 2023,GitConnectorUi.java,Александър Куртаков
Sat Nov 25 11:25:20 2023,category.xml,Александър Куртаков
Sat Nov 25 11:25:20 2023,org.eclipse.mylyn.target.target,Александър Куртаков
