date_time,file,committer_name
Fri May 18 16:43:57 2012,RepositoryClientManager.java,Steffen Pingel
Fri May 18 16:43:57 2012,RepositoryClientManagerTest.java,Steffen Pingel
Tue Jun  5 18:08:04 2012,ColorMap.java,Steffen Pingel
Tue Jun  5 18:08:04 2012,InterestDecrementAction.java,Steffen Pingel
Tue Jun  5 18:08:04 2012,ActiveFoldingListener.java,Steffen Pingel
Tue Jun  5 18:08:04 2012,FocusedTeamUiPlugin.java,Steffen Pingel
Tue Jun  5 18:55:32 2012,ContentOutlineRefreshTest.java,Steffen Pingel
Tue Jun  5 18:55:32 2012,JavaEditingMonitorTest.java,Steffen Pingel
Tue Jun  5 18:55:32 2012,JavaEditorManagerTest.java,Steffen Pingel
Tue Jun  5 21:36:04 2012,EditorStateParticipantTest.java,Steffen Pingel
Tue Jun  5 21:36:04 2012,JavaEditingMonitorTest.java,Steffen Pingel
Tue Jun  5 21:36:04 2012,JavaEditingMonitor.java,Steffen Pingel
Wed Jun  6 18:25:57 2012,AllJavaTests.java,Steffen Pingel
Wed Jun  6 18:25:57 2012,InterestManipulationTest.java,Steffen Pingel
Wed Jun  6 18:25:57 2012,JavaStructureTest.java,Steffen Pingel
Wed Jun  6 18:25:57 2012,ResourceStructureMappingTest.java,Steffen Pingel
Wed May 23 13:58:38 2012,AuthenticationCredentials.java,Steffen Pingel
Wed May 23 14:37:53 2012,AllTasksTests.java,Steffen Pingel
Wed May 23 14:37:53 2012,RetrieveTitleFromUrlTest.java,Steffen Pingel
Wed May 23 16:03:30 2012,RepositoryClientManager.java,Steffen Pingel
Wed May 23 16:03:30 2012,RepositoryClientManagerTest.java,Steffen Pingel
Wed May 23 21:18:40 2012,TasksUtil.java,Steffen Pingel
Wed May 23 21:18:40 2012,TasksUtilTest.java,Steffen Pingel
Wed May 23 21:18:48 2012,CoreUtil.java,Steffen Pingel
Wed May 23 21:18:48 2012,CoreUtilTest.java,Steffen Pingel
Wed May 23 21:18:55 2012,AllHeadlessStandaloneTest.java,Steffen Pingel
Wed May 23 21:25:23 2012,JSonSupport.java,Steffen Pingel
Thu May 24  8:38:47 2012,GerritFixture.java,Steffen Pingel
Thu May 24  8:38:47 2012,GerritUrlHandlerTest.java,Steffen Pingel
Sun Jun  3 18:16:30 2012,GitConnector.java,Steffen Pingel
Sun Jun  3 18:26:42 2012,RepositoryClientManager.java,Steffen Pingel
Sun Jun  3 18:26:42 2012,RepositoryClientManagerTest.java,Steffen Pingel
Sun Jun  3 21:36:40 2012,HttpUtil.java,Steffen Pingel
Sun Jun  3 21:36:40 2012,HttpUtilTest.java,Steffen Pingel
Sun Jun  3 22:42:03 2012,GerritFixture.java,Steffen Pingel
Sun Jun  3 23:50:14 2012,HudsonOperation.java,Steffen Pingel
Sun Jun  3 23:50:14 2012,HudsonFixture.java,Steffen Pingel
Mon Jun  4 17:42:22 2012,FileItemCompareEditorInput.java,Steffen Pingel
Tue Jun  5 14:28:40 2012,GerritConnector.java,Steffen Pingel
Tue Jun  5 14:29:01 2012,CoreUtil.java,Steffen Pingel
Tue Jun  5 14:29:01 2012,ConnectorDiscoveryWizardMainPage.java,Steffen Pingel
Tue Jun  5 15:49:24 2012,GerritHttpClient.java,Steffen Pingel
Tue Jun  5 15:49:24 2012,AllGerritTests.java,Steffen Pingel
Tue Jun  5 15:49:24 2012,OpenIdAuthenticationTest.java,Steffen Pingel
Tue Jun  5 18:08:39 2012,CompareUtil.java,Steffen Pingel
Tue Jun  5 18:08:39 2012,ReviewCompareInputListener.java,Steffen Pingel
Tue Jun  5 21:35:53 2012,CommonTestUtil.java,Steffen Pingel
Wed Jun  6 20:02:33 2012,UiTestUtil.java,Steffen Pingel
