date_time,file,committer_name
Thu Aug  3 21:45:48 2017,.classpath,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,.gitignore,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,.project,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,org.eclipse.core.resources.prefs,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,org.eclipse.core.runtime.prefs,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,org.eclipse.jdt.core.prefs,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,org.eclipse.jdt.ui.prefs,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,org.eclipse.pde.api.tools.prefs,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,org.eclipse.pde.prefs,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,MANIFEST.MF,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,about.html,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,build.properties,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,plugin.properties,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,plugin.xml,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,Activator.java,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,MavenGoal.java,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,MavenGoalsLatencyAnalysis.java,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,MavenGoalsLatencyStatisticsAnalysisModule.java,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,package-info.java,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,package-info.java,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,MavenEvent.java,Marc-Andre Laperle
Thu Aug  3 21:45:48 2017,MavenTrace.java,Marc-Andre Laperle
