date_time,file,committer_name
Mon Mar 20 10:02:08 2017,EMFPatternLanguageUiModule.java,Zoltan Ujhelyi
Mon Mar 20 10:02:08 2017,EnsurePluginSupport.java,Zoltan Ujhelyi
Mon Mar 20 10:02:08 2017,EMFPatternLanguageBuilderConfigurationBlock.java,Zoltan Ujhelyi
Mon Mar 20 10:02:08 2017,EMFPatternLanguageBuilderPreferenceAccess.java,Zoltan Ujhelyi
Mon Mar 20 13:44:23 2017,EMFPatternLanguageBuilderPreferenceAccess.java,Zoltan Ujhelyi
Mon Mar 20 15:33:04 2017,EnsurePluginSupport.java,Zoltan Ujhelyi
Mon Apr  3  8:37:55 2017,FileStringReplacer.java,Zoltan Ujhelyi
Mon Apr  3  8:37:55 2017,JavaProjectMigrator.xtend,Zoltan Ujhelyi
Mon Apr  3  8:37:55 2017,NatureUpdaterJob.java,Zoltan Ujhelyi
Mon Apr  3  8:44:44 2017,NatureUpdaterJob.java,Zoltan Ujhelyi
Mon Apr  3  8:56:50 2017,ProjectGenerationHelper.java,Zoltan Ujhelyi
Mon Apr  3  9:33:45 2017,CleanSupport.java,Zoltan Ujhelyi
Tue Apr  4  8:22:17 2017,BaseIndexOptions.java,Zoltan Ujhelyi
Tue Apr  4  8:22:17 2017,EMFBaseIndexInstanceStore.java,Zoltan Ujhelyi
Tue Apr  4  8:22:17 2017,NavigationHelperImpl.java,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,EMFPatternLanguageJvmModelInferrer.xtend,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,JavadocInferrer.xtend,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,PatternGroupClassInferrer.xtend,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,PatternMatcherClassInferrer.xtend,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,PatternQuerySpecificationClassInferrer.xtend,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,EMFPatternLanguageJvmModelInferrerUtil.xtend,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,BaseGeneratedEMFQuerySpecification.java,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,BaseGeneratedPrivateEMFQuerySpecification.java,Zoltan Ujhelyi
Thu Apr  6  9:43:12 2017,BaseQuerySpecification.java,Zoltan Ujhelyi
Thu Apr  6 14:41:11 2017,BaseIndexOptions.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,RefreshCodeToLinkedFileHandler.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ViatraViewersViewSupport.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ViatraViewerDataModel.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ViewerDataFilter.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ViewerDataModel.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,NewVeplFileWizardContainerConfigurationPage.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ComplexTest.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,NotTests.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,MANIFEST.MF,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,Activator.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,CsvFile.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,SolutionTrajectory.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ActivationCodesConflictSet.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,DesignSpaceManager.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,EMFHelper.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,MWE2BaseControllableScheduler.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,EMFPatternLanguageUiModule.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,EMFPatternLanguageBuilderParticipant.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,OldVersionHelper.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,GenmodelBasedEMFPatternLanguageJavaValidator.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,SpecificationBuilder.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,PatternBodyTransformer.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,PatternLanguageProposalProvider.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,DuplicationChecker.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,CountingTcRelation.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,DRedTcRelation.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,Graph.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,IBiDirectionalWrapper.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,NavigationHelperContentAdapter.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,SearchPlanExecutor.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,PConstraintInfoInferrer.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,TypeHelper.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,BasePQuery.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ReteRecipeCompiler.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,Options.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,EMFBaseIndexWrapper.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,TargetPlatformMetamodelsIndex.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,NewVqlFileWizardContainerConfigurationPage.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,ElementSelectionDialog.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,SaveSnapshotHandler.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,TransformationModelBuilder.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,TransformationModelElement.java,Zoltan Ujhelyi
Sat Apr  8 10:57:28 2017,TransformationValue.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,org.eclipse.jdt.core.prefs,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,build.properties,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,plugin.xml,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,DSEException.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,Strategies.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,DepthFirstStrategy.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,GlobalContext.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IObjective.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,ObjectiveComparatorHelper.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IncrementalObjectProvider.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IMessageBroker.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IMessageProcessor.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,ITopic.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IController.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IConditionProvider.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IIterableProvider.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IIterationNumberProvider.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,.api_filters,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,.api_filters,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,EMFPatternLanguageBuilderParticipant.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,EMFPatternLanguageProposalProvider.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,.api_filters,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,GeneratorModelHelper.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,PatternQuerySpecificationClassInferrer.xtend,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,GenericEMFPatternPQuery.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,IEMFTypeProvider.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,EMFPatternLanguageJvmModelInferrerUtil.xtend,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,PatternParsingUtil.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,PatternParsingResults.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,.api_filters,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,PatternLanguageProposalProvider.java,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,.api_filters,Zoltan Ujhelyi
Sat Apr  8 11:52:22 2017,ITypeInferrer.java,Zoltan Ujhelyi
