date_time,file,committer_name
Wed Aug 21  9:00:39 2013,RuntimeMatcherRegistrator.java,Abel Hegedus
Wed Aug 21  9:00:40 2013,Jobs.java,Abel Hegedus
Wed Aug 21  9:00:40 2013,CommandExecutingJob.java,Abel Hegedus
Wed Aug 21  9:00:40 2013,EventAtomEditingDomainProvider.java,Abel Hegedus
Wed Aug 21  9:00:40 2013,RecordingJob.java,Abel Hegedus
Wed Aug 21 14:40:00 2013,NavigationHelperContentAdapter.java,Abel Hegedus
Tue Aug 27  8:14:26 2013,Agenda.java,Abel Hegedus
Tue Aug 27  8:14:26 2013,ConflictSet.java,Abel Hegedus
Tue Aug 27  8:14:26 2013,ConflictSetUpdatingListener.java,Abel Hegedus
Tue Aug 27  8:14:26 2013,ConflictingActivationSet.java,Abel Hegedus
Tue Aug 27  8:14:26 2013,OrderedActivationSet.java,Abel Hegedus
Tue Aug 27  8:14:26 2013,RuleBase.java,Abel Hegedus
Tue Aug 27  8:14:26 2013,RuleEngine.java,Abel Hegedus
Tue Aug 27  8:15:10 2013,ProtoApp.java,Abel Hegedus
Tue Aug 27  8:15:10 2013,plugin.xml,Abel Hegedus
Tue Aug 27  8:15:10 2013,UMLexampleForEVM.java,Abel Hegedus
Tue Aug 27  8:20:58 2013,ObservableCollectionHelper.java,Abel Hegedus
Tue Aug 27  8:20:58 2013,EventDrivenVM.java,Abel Hegedus
Tue Aug 27  8:20:58 2013,RuleEngine.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,MANIFEST.MF,Abel Hegedus
Tue Aug 27 13:21:04 2013,Agenda.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,Executor.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,RuleBase.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,RuleEngine.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ChangeableConflictSet.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ConflictResolver.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ConflictSet.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ConflictSetUpdater.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ScopedConflictSet.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ArbitraryOrderConflictResolver.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ComparingConflictResolver.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,FixedPriorityConflictSet.java,Abel Hegedus
Tue Aug 27 13:21:04 2013,ReconfigurableConflictResolver.java,Abel Hegedus
Tue Aug 27 13:21:46 2013,UMLexampleForEVM.java,Abel Hegedus
Wed Aug 28 14:26:45 2013,UMLexampleForEVM.java,Abel Hegedus
Wed Aug 28 14:27:56 2013,Rules.java,Abel Hegedus
Wed Aug 28 14:27:56 2013,IncQueryEventRealm.java,Abel Hegedus
Wed Aug 28 14:27:56 2013,IncQueryMultiPatternMatchEventFilter.java,Abel Hegedus
Wed Aug 28 14:27:56 2013,IncQuerySinglePatternMatchEventFilter.java,Abel Hegedus
Mon Sep  2 12:11:15 2013,Agenda.java,Abel Hegedus
Mon Sep  2 12:37:36 2013,Agenda.java,Abel Hegedus
Fri Sep 13 13:18:27 2013,ExecutionSchema.java,Abel Hegedus
Mon Sep 16  8:05:48 2013,QuerySpecificationRegistry.java,Abel Hegedus
Mon Sep 16  8:58:00 2013,TestingLogAppender.java,Abel Hegedus
